time,subject,fuzzer,run,cov_type,cov
1764775310,exim,aflnet,1,l_per,5.8
1764775310,exim,aflnet,1,l_abs,2523
1764775310,exim,aflnet,1,b_per,3.9
1764775310,exim,aflnet,1,b_abs,1480
1764775313,exim,aflnet,1,l_per,5.9
1764775313,exim,aflnet,1,l_abs,2566
1764775313,exim,aflnet,1,b_per,4.0
1764775313,exim,aflnet,1,b_abs,1512
1764775310,exim,aflnet,1,l_per,5.9
1764775310,exim,aflnet,1,l_abs,2566
1764775310,exim,aflnet,1,b_per,4.0
1764775310,exim,aflnet,1,b_abs,1512
1764775313,exim,aflnet,1,l_per,5.9
1764775313,exim,aflnet,1,l_abs,2566
1764775313,exim,aflnet,1,b_per,4.0
1764775313,exim,aflnet,1,b_abs,1512
1764775318,exim,aflnet,1,l_per,5.9
1764775318,exim,aflnet,1,l_abs,2566
1764775318,exim,aflnet,1,b_per,4.0
1764775318,exim,aflnet,1,b_abs,1512
1764775337,exim,aflnet,1,l_per,5.9
1764775337,exim,aflnet,1,l_abs,2566
1764775337,exim,aflnet,1,b_per,4.0
1764775337,exim,aflnet,1,b_abs,1512
1764775355,exim,aflnet,1,l_per,5.9
1764775355,exim,aflnet,1,l_abs,2566
1764775355,exim,aflnet,1,b_per,4.0
1764775355,exim,aflnet,1,b_abs,1512
1764775375,exim,aflnet,1,l_per,5.9
1764775375,exim,aflnet,1,l_abs,2566
1764775375,exim,aflnet,1,b_per,4.0
1764775375,exim,aflnet,1,b_abs,1512
1764775379,exim,aflnet,1,l_per,5.9
1764775379,exim,aflnet,1,l_abs,2566
1764775379,exim,aflnet,1,b_per,4.0
1764775379,exim,aflnet,1,b_abs,1512
1764775383,exim,aflnet,1,l_per,5.9
1764775383,exim,aflnet,1,l_abs,2566
1764775383,exim,aflnet,1,b_per,4.0
1764775383,exim,aflnet,1,b_abs,1512
1764775388,exim,aflnet,1,l_per,5.9
1764775388,exim,aflnet,1,l_abs,2566
1764775388,exim,aflnet,1,b_per,4.0
1764775388,exim,aflnet,1,b_abs,1512
1764775392,exim,aflnet,1,l_per,5.9
1764775392,exim,aflnet,1,l_abs,2566
1764775392,exim,aflnet,1,b_per,4.0
1764775392,exim,aflnet,1,b_abs,1512
1764775396,exim,aflnet,1,l_per,5.9
1764775396,exim,aflnet,1,l_abs,2566
1764775396,exim,aflnet,1,b_per,4.0
1764775396,exim,aflnet,1,b_abs,1512
1764775401,exim,aflnet,1,l_per,5.9
1764775401,exim,aflnet,1,l_abs,2566
1764775401,exim,aflnet,1,b_per,4.0
1764775401,exim,aflnet,1,b_abs,1512
1764775407,exim,aflnet,1,l_per,5.9
1764775407,exim,aflnet,1,l_abs,2566
1764775407,exim,aflnet,1,b_per,4.0
1764775407,exim,aflnet,1,b_abs,1512
1764775416,exim,aflnet,1,l_per,5.9
1764775416,exim,aflnet,1,l_abs,2566
1764775416,exim,aflnet,1,b_per,4.0
1764775416,exim,aflnet,1,b_abs,1512
1764775420,exim,aflnet,1,l_per,5.9
1764775420,exim,aflnet,1,l_abs,2566
1764775420,exim,aflnet,1,b_per,4.0
1764775420,exim,aflnet,1,b_abs,1512
1764775447,exim,aflnet,1,l_per,5.9
1764775447,exim,aflnet,1,l_abs,2566
1764775447,exim,aflnet,1,b_per,4.0
1764775447,exim,aflnet,1,b_abs,1512
1764775451,exim,aflnet,1,l_per,5.9
1764775451,exim,aflnet,1,l_abs,2566
1764775451,exim,aflnet,1,b_per,4.0
1764775451,exim,aflnet,1,b_abs,1512
1764775457,exim,aflnet,1,l_per,5.9
1764775457,exim,aflnet,1,l_abs,2566
1764775457,exim,aflnet,1,b_per,4.0
1764775457,exim,aflnet,1,b_abs,1512
1764775475,exim,aflnet,1,l_per,5.9
1764775475,exim,aflnet,1,l_abs,2566
1764775475,exim,aflnet,1,b_per,4.0
1764775475,exim,aflnet,1,b_abs,1512
1764775484,exim,aflnet,1,l_per,5.9
1764775484,exim,aflnet,1,l_abs,2566
1764775484,exim,aflnet,1,b_per,4.0
1764775484,exim,aflnet,1,b_abs,1512
1764775489,exim,aflnet,1,l_per,5.9
1764775489,exim,aflnet,1,l_abs,2566
1764775489,exim,aflnet,1,b_per,4.0
1764775489,exim,aflnet,1,b_abs,1512
1764775498,exim,aflnet,1,l_per,5.9
1764775498,exim,aflnet,1,l_abs,2566
1764775498,exim,aflnet,1,b_per,4.0
1764775498,exim,aflnet,1,b_abs,1512
1764775519,exim,aflnet,1,l_per,5.9
1764775519,exim,aflnet,1,l_abs,2566
1764775519,exim,aflnet,1,b_per,4.0
1764775519,exim,aflnet,1,b_abs,1512
1764775528,exim,aflnet,1,l_per,5.9
1764775528,exim,aflnet,1,l_abs,2566
1764775528,exim,aflnet,1,b_per,4.0
1764775528,exim,aflnet,1,b_abs,1512
1764775549,exim,aflnet,1,l_per,5.9
1764775549,exim,aflnet,1,l_abs,2566
1764775549,exim,aflnet,1,b_per,4.0
1764775549,exim,aflnet,1,b_abs,1512
1764775567,exim,aflnet,1,l_per,5.9
1764775567,exim,aflnet,1,l_abs,2566
1764775567,exim,aflnet,1,b_per,4.0
1764775567,exim,aflnet,1,b_abs,1512
1764775578,exim,aflnet,1,l_per,5.9
1764775578,exim,aflnet,1,l_abs,2566
1764775578,exim,aflnet,1,b_per,4.0
1764775578,exim,aflnet,1,b_abs,1512
1764775584,exim,aflnet,1,l_per,5.9
1764775584,exim,aflnet,1,l_abs,2566
1764775584,exim,aflnet,1,b_per,4.0
1764775584,exim,aflnet,1,b_abs,1512
1764775643,exim,aflnet,1,l_per,5.9
1764775643,exim,aflnet,1,l_abs,2566
1764775643,exim,aflnet,1,b_per,4.0
1764775643,exim,aflnet,1,b_abs,1512
1764775659,exim,aflnet,1,l_per,5.9
1764775659,exim,aflnet,1,l_abs,2566
1764775659,exim,aflnet,1,b_per,4.0
1764775659,exim,aflnet,1,b_abs,1512
1764775673,exim,aflnet,1,l_per,5.9
1764775673,exim,aflnet,1,l_abs,2566
1764775673,exim,aflnet,1,b_per,4.0
1764775673,exim,aflnet,1,b_abs,1512
1764775687,exim,aflnet,1,l_per,5.9
1764775687,exim,aflnet,1,l_abs,2566
1764775687,exim,aflnet,1,b_per,4.0
1764775687,exim,aflnet,1,b_abs,1512
1764775700,exim,aflnet,1,l_per,5.9
1764775700,exim,aflnet,1,l_abs,2566
1764775700,exim,aflnet,1,b_per,4.0
1764775700,exim,aflnet,1,b_abs,1512
1764775782,exim,aflnet,1,l_per,5.9
1764775782,exim,aflnet,1,l_abs,2566
1764775782,exim,aflnet,1,b_per,4.0
1764775782,exim,aflnet,1,b_abs,1512
1764775799,exim,aflnet,1,l_per,5.9
1764775799,exim,aflnet,1,l_abs,2566
1764775799,exim,aflnet,1,b_per,4.0
1764775799,exim,aflnet,1,b_abs,1512
1764775803,exim,aflnet,1,l_per,5.9
1764775803,exim,aflnet,1,l_abs,2566
1764775803,exim,aflnet,1,b_per,4.0
1764775803,exim,aflnet,1,b_abs,1512
1764775831,exim,aflnet,1,l_per,5.9
1764775831,exim,aflnet,1,l_abs,2566
1764775831,exim,aflnet,1,b_per,4.0
1764775831,exim,aflnet,1,b_abs,1512
1764775857,exim,aflnet,1,l_per,5.9
1764775857,exim,aflnet,1,l_abs,2566
1764775857,exim,aflnet,1,b_per,4.0
1764775857,exim,aflnet,1,b_abs,1512
1764775924,exim,aflnet,1,l_per,5.9
1764775924,exim,aflnet,1,l_abs,2566
1764775924,exim,aflnet,1,b_per,4.0
1764775924,exim,aflnet,1,b_abs,1512
1764775931,exim,aflnet,1,l_per,5.9
1764775931,exim,aflnet,1,l_abs,2566
1764775931,exim,aflnet,1,b_per,4.0
1764775931,exim,aflnet,1,b_abs,1512
1764775939,exim,aflnet,1,l_per,5.9
1764775939,exim,aflnet,1,l_abs,2566
1764775939,exim,aflnet,1,b_per,4.0
1764775939,exim,aflnet,1,b_abs,1512
1764775952,exim,aflnet,1,l_per,5.9
1764775952,exim,aflnet,1,l_abs,2566
1764775952,exim,aflnet,1,b_per,4.0
1764775952,exim,aflnet,1,b_abs,1512
1764775963,exim,aflnet,1,l_per,5.9
1764775963,exim,aflnet,1,l_abs,2566
1764775963,exim,aflnet,1,b_per,4.0
1764775963,exim,aflnet,1,b_abs,1512
1764775970,exim,aflnet,1,l_per,5.9
1764775970,exim,aflnet,1,l_abs,2566
1764775970,exim,aflnet,1,b_per,4.0
1764775970,exim,aflnet,1,b_abs,1512
1764775974,exim,aflnet,1,l_per,5.9
1764775974,exim,aflnet,1,l_abs,2566
1764775974,exim,aflnet,1,b_per,4.0
1764775974,exim,aflnet,1,b_abs,1512
1764775993,exim,aflnet,1,l_per,5.9
1764775993,exim,aflnet,1,l_abs,2566
