subject,fuzzer,data_type,time,data
forked-daapd,aflnet,nodes,0,0.0
forked-daapd,aflnet,nodes,1,0.0
forked-daapd,aflnet,nodes,2,0.0
forked-daapd,aflnet,nodes,3,0.0
forked-daapd,aflnet,nodes,4,0.0
forked-daapd,aflnet,nodes,5,0.0
forked-daapd,aflnet,nodes,6,0.0
forked-daapd,aflnet,nodes,7,0.0
forked-daapd,aflnet,nodes,8,0.0
forked-daapd,aflnet,nodes,9,0.0
forked-daapd,aflnet,nodes,10,0.0
forked-daapd,aflnet,nodes,11,0.0
forked-daapd,aflnet,nodes,12,0.0
forked-daapd,aflnet,nodes,13,0.0
forked-daapd,aflnet,nodes,14,0.0
forked-daapd,aflnet,nodes,15,0.0
forked-daapd,aflnet,nodes,16,0.0
forked-daapd,aflnet,nodes,17,0.0
forked-daapd,aflnet,nodes,18,0.0
forked-daapd,aflnet,nodes,19,0.0
forked-daapd,aflnet,nodes,20,0.0
forked-daapd,aflnet,nodes,21,0.0
forked-daapd,aflnet,nodes,22,0.0
forked-daapd,aflnet,nodes,23,0.0
forked-daapd,aflnet,nodes,24,0.0
forked-daapd,aflnet,nodes,25,0.0
forked-daapd,aflnet,nodes,26,0.0
forked-daapd,aflnet,nodes,27,0.0
forked-daapd,aflnet,nodes,28,0.0
forked-daapd,aflnet,nodes,29,0.0
forked-daapd,aflnet,nodes,30,0.0
forked-daapd,aflnet,nodes,31,0.0
forked-daapd,aflnet,nodes,32,0.0
forked-daapd,aflnet,nodes,33,0.0
forked-daapd,aflnet,nodes,34,0.0
forked-daapd,aflnet,nodes,35,0.0
forked-daapd,aflnet,nodes,36,0.0
forked-daapd,aflnet,nodes,37,0.0
forked-daapd,aflnet,nodes,38,0.0
forked-daapd,aflnet,nodes,39,0.0
forked-daapd,aflnet,nodes,40,0.0
forked-daapd,aflnet,nodes,41,0.0
forked-daapd,aflnet,nodes,42,0.0
forked-daapd,aflnet,nodes,43,0.0
forked-daapd,aflnet,nodes,44,0.0
forked-daapd,aflnet,nodes,45,0.0
forked-daapd,aflnet,nodes,46,0.0
forked-daapd,aflnet,nodes,47,0.0
forked-daapd,aflnet,nodes,48,0.0
forked-daapd,aflnet,nodes,49,0.0
forked-daapd,aflnet,nodes,50,0.0
forked-daapd,aflnet,nodes,51,0.0
forked-daapd,aflnet,nodes,52,0.0
forked-daapd,aflnet,nodes,53,0.0
forked-daapd,aflnet,nodes,54,0.0
forked-daapd,aflnet,nodes,55,0.0
forked-daapd,aflnet,nodes,56,0.0
forked-daapd,aflnet,nodes,57,0.0
forked-daapd,aflnet,nodes,58,0.0
forked-daapd,aflnet,nodes,59,0.0
forked-daapd,aflnet,nodes,60,0.0
forked-daapd,aflnet,nodes,61,0.0
forked-daapd,aflnet,nodes,62,0.0
forked-daapd,aflnet,nodes,63,0.0
forked-daapd,aflnet,nodes,64,0.0
forked-daapd,aflnet,nodes,65,0.0
forked-daapd,aflnet,nodes,66,0.0
forked-daapd,aflnet,nodes,67,0.0
forked-daapd,aflnet,nodes,68,0.0
forked-daapd,aflnet,nodes,69,0.0
forked-daapd,aflnet,nodes,70,0.0
forked-daapd,aflnet,nodes,71,0.0
forked-daapd,aflnet,nodes,72,0.0
forked-daapd,aflnet,nodes,73,0.0
forked-daapd,aflnet,nodes,74,0.0
forked-daapd,aflnet,nodes,75,0.0
forked-daapd,aflnet,nodes,76,0.0
forked-daapd,aflnet,nodes,77,0.0
forked-daapd,aflnet,nodes,78,0.0
forked-daapd,aflnet,nodes,79,0.0
forked-daapd,aflnet,nodes,80,0.0
forked-daapd,aflnet,nodes,81,0.0
forked-daapd,aflnet,nodes,82,0.0
forked-daapd,aflnet,nodes,83,0.0
forked-daapd,aflnet,nodes,84,0.0
forked-daapd,aflnet,nodes,85,0.0
forked-daapd,aflnet,nodes,86,0.0
forked-daapd,aflnet,nodes,87,0.0
forked-daapd,aflnet,nodes,88,0.0
forked-daapd,aflnet,nodes,89,0.0
forked-daapd,aflnet,nodes,90,0.0
forked-daapd,aflnet,nodes,91,0.0
forked-daapd,aflnet,nodes,92,0.0
forked-daapd,aflnet,nodes,93,0.0
forked-daapd,aflnet,nodes,94,0.0
forked-daapd,aflnet,nodes,95,0.0
forked-daapd,aflnet,nodes,96,0.0
forked-daapd,aflnet,nodes,97,0.0
forked-daapd,aflnet,nodes,98,0.0
forked-daapd,aflnet,nodes,99,0.0
forked-daapd,aflnet,nodes,100,0.0
forked-daapd,aflnet,nodes,101,0.0
forked-daapd,aflnet,nodes,102,0.0
forked-daapd,aflnet,nodes,103,0.0
forked-daapd,aflnet,nodes,104,0.0
forked-daapd,aflnet,nodes,105,0.0
forked-daapd,aflnet,nodes,106,0.0
forked-daapd,aflnet,nodes,107,0.0
forked-daapd,aflnet,nodes,108,0.0
forked-daapd,aflnet,nodes,109,0.0
forked-daapd,aflnet,nodes,110,0.0
forked-daapd,aflnet,nodes,111,0.0
forked-daapd,aflnet,nodes,112,0.0
forked-daapd,aflnet,nodes,113,0.0
forked-daapd,aflnet,nodes,114,0.0
forked-daapd,aflnet,nodes,115,0.0
forked-daapd,aflnet,nodes,116,0.0
forked-daapd,aflnet,nodes,117,0.0
forked-daapd,aflnet,nodes,118,0.0
forked-daapd,aflnet,nodes,119,0.0
forked-daapd,aflnet,nodes,120,0.0
forked-daapd,aflnet,nodes,121,0.0
forked-daapd,aflnet,nodes,122,0.0
forked-daapd,aflnet,nodes,123,0.0
forked-daapd,aflnet,nodes,124,0.0
forked-daapd,aflnet,nodes,125,0.0
forked-daapd,aflnet,nodes,126,0.0
