time,subject,fuzzer,run,cov_type,cov
1764913497,forked-daapd,aflnet,1,l_per,1.4
1764913497,forked-daapd,aflnet,1,l_abs,455
1764913497,forked-daapd,aflnet,1,b_per,1.1
1764913497,forked-daapd,aflnet,1,b_abs,157
1764913502,forked-daapd,aflnet,1,l_per,1.4
1764913502,forked-daapd,aflnet,1,l_abs,455
1764913502,forked-daapd,aflnet,1,b_per,1.1
1764913502,forked-daapd,aflnet,1,b_abs,158
1764913497,forked-daapd,aflnet,1,l_per,1.4
1764913497,forked-daapd,aflnet,1,l_abs,455
1764913497,forked-daapd,aflnet,1,b_per,1.1
1764913497,forked-daapd,aflnet,1,b_abs,158
1764913502,forked-daapd,aflnet,1,l_per,1.4
1764913502,forked-daapd,aflnet,1,l_abs,455
1764913502,forked-daapd,aflnet,1,b_per,1.1
1764913502,forked-daapd,aflnet,1,b_abs,158
1764509337,forked-daapd,aflnet,2,l_per,6.3
1764509337,forked-daapd,aflnet,2,l_abs,1992
1764509337,forked-daapd,aflnet,2,b_per,5.0
1764509337,forked-daapd,aflnet,2,b_abs,703
1764509342,forked-daapd,aflnet,2,l_per,6.3
1764509342,forked-daapd,aflnet,2,l_abs,1992
1764509342,forked-daapd,aflnet,2,b_per,5.0
1764509342,forked-daapd,aflnet,2,b_abs,703
1764509337,forked-daapd,aflnet,2,l_per,6.3
1764509337,forked-daapd,aflnet,2,l_abs,1992
1764509337,forked-daapd,aflnet,2,b_per,5.0
1764509337,forked-daapd,aflnet,2,b_abs,703
1764509342,forked-daapd,aflnet,2,l_per,6.3
1764509342,forked-daapd,aflnet,2,l_abs,1992
1764509342,forked-daapd,aflnet,2,b_per,5.0
1764509342,forked-daapd,aflnet,2,b_abs,703
1764913552,forked-daapd,chatafl,1,l_per,1.4
1764913552,forked-daapd,chatafl,1,l_abs,455
1764913552,forked-daapd,chatafl,1,b_per,1.1
1764913552,forked-daapd,chatafl,1,b_abs,157
1764913603,forked-daapd,chatafl,1,l_per,1.4
1764913603,forked-daapd,chatafl,1,l_abs,455
1764913603,forked-daapd,chatafl,1,b_per,1.1
1764913603,forked-daapd,chatafl,1,b_abs,157
1764913552,forked-daapd,chatafl,1,l_per,1.4
1764913552,forked-daapd,chatafl,1,l_abs,455
1764913552,forked-daapd,chatafl,1,b_per,1.1
1764913552,forked-daapd,chatafl,1,b_abs,158
1764913603,forked-daapd,chatafl,1,l_per,1.4
1764913603,forked-daapd,chatafl,1,l_abs,455
1764913603,forked-daapd,chatafl,1,b_per,1.1
1764913603,forked-daapd,chatafl,1,b_abs,158
1764509435,forked-daapd,chatafl,2,l_per,6.3
1764509435,forked-daapd,chatafl,2,l_abs,1991
1764509435,forked-daapd,chatafl,2,b_per,5.0
1764509435,forked-daapd,chatafl,2,b_abs,702
1764509440,forked-daapd,chatafl,2,l_per,6.3
1764509440,forked-daapd,chatafl,2,l_abs,1992
1764509440,forked-daapd,chatafl,2,b_per,5.0
1764509440,forked-daapd,chatafl,2,b_abs,703
1764509435,forked-daapd,chatafl,2,l_per,6.3
1764509435,forked-daapd,chatafl,2,l_abs,1992
1764509435,forked-daapd,chatafl,2,b_per,5.0
1764509435,forked-daapd,chatafl,2,b_abs,703
1764509440,forked-daapd,chatafl,2,l_per,6.3
1764509440,forked-daapd,chatafl,2,l_abs,1992
1764509440,forked-daapd,chatafl,2,b_per,5.0
1764509440,forked-daapd,chatafl,2,b_abs,703
1764945882,forked-daapd,xpgfuzz,1,l_per,1.4
1764945882,forked-daapd,xpgfuzz,1,l_abs,455
1764945882,forked-daapd,xpgfuzz,1,b_per,1.1
1764945882,forked-daapd,xpgfuzz,1,b_abs,158
1764945933,forked-daapd,xpgfuzz,1,l_per,1.4
1764945933,forked-daapd,xpgfuzz,1,l_abs,455
1764945933,forked-daapd,xpgfuzz,1,b_per,1.1
1764945933,forked-daapd,xpgfuzz,1,b_abs,158
1764945882,forked-daapd,xpgfuzz,1,l_per,1.4
1764945882,forked-daapd,xpgfuzz,1,l_abs,455
1764945882,forked-daapd,xpgfuzz,1,b_per,1.1
1764945882,forked-daapd,xpgfuzz,1,b_abs,158
1764945933,forked-daapd,xpgfuzz,1,l_per,1.4
1764945933,forked-daapd,xpgfuzz,1,l_abs,455
1764945933,forked-daapd,xpgfuzz,1,b_per,1.1
1764945933,forked-daapd,xpgfuzz,1,b_abs,158
1764509431,forked-daapd,xpgfuzz,2,l_per,6.3
1764509431,forked-daapd,xpgfuzz,2,l_abs,1992
1764509431,forked-daapd,xpgfuzz,2,b_per,5.0
1764509431,forked-daapd,xpgfuzz,2,b_abs,703
1764509436,forked-daapd,xpgfuzz,2,l_per,6.3
1764509436,forked-daapd,xpgfuzz,2,l_abs,1992
1764509436,forked-daapd,xpgfuzz,2,b_per,5.0
1764509436,forked-daapd,xpgfuzz,2,b_abs,703
1764509431,forked-daapd,xpgfuzz,2,l_per,6.3
1764509431,forked-daapd,xpgfuzz,2,l_abs,1992
1764509431,forked-daapd,xpgfuzz,2,b_per,5.0
1764509431,forked-daapd,xpgfuzz,2,b_abs,703
1764509436,forked-daapd,xpgfuzz,2,l_per,6.3
1764509436,forked-daapd,xpgfuzz,2,l_abs,1992
1764509436,forked-daapd,xpgfuzz,2,b_per,5.0
1764509436,forked-daapd,xpgfuzz,2,b_abs,703
