time,subject,fuzzer,run,cov_type,cov
1764509334,forked-daapd,aflnet,1,l_per,6.3
1764509334,forked-daapd,aflnet,1,l_abs,1992
1764509334,forked-daapd,aflnet,1,b_per,5.0
1764509334,forked-daapd,aflnet,1,b_abs,703
1764509339,forked-daapd,aflnet,1,l_per,6.3
1764509339,forked-daapd,aflnet,1,l_abs,1992
1764509339,forked-daapd,aflnet,1,b_per,5.0
1764509339,forked-daapd,aflnet,1,b_abs,703
1764509334,forked-daapd,aflnet,1,l_per,6.3
1764509334,forked-daapd,aflnet,1,l_abs,1992
1764509334,forked-daapd,aflnet,1,b_per,5.0
1764509334,forked-daapd,aflnet,1,b_abs,703
1764509339,forked-daapd,aflnet,1,l_per,6.3
1764509339,forked-daapd,aflnet,1,l_abs,1992
1764509339,forked-daapd,aflnet,1,b_per,5.0
1764509339,forked-daapd,aflnet,1,b_abs,703
1764509337,forked-daapd,aflnet,2,l_per,6.3
1764509337,forked-daapd,aflnet,2,l_abs,1992
1764509337,forked-daapd,aflnet,2,b_per,5.0
1764509337,forked-daapd,aflnet,2,b_abs,703
1764509342,forked-daapd,aflnet,2,l_per,6.3
1764509342,forked-daapd,aflnet,2,l_abs,1992
1764509342,forked-daapd,aflnet,2,b_per,5.0
1764509342,forked-daapd,aflnet,2,b_abs,703
1764509337,forked-daapd,aflnet,2,l_per,6.3
1764509337,forked-daapd,aflnet,2,l_abs,1992
1764509337,forked-daapd,aflnet,2,b_per,5.0
1764509337,forked-daapd,aflnet,2,b_abs,703
1764509342,forked-daapd,aflnet,2,l_per,6.3
1764509342,forked-daapd,aflnet,2,l_abs,1992
1764509342,forked-daapd,aflnet,2,b_per,5.0
1764509342,forked-daapd,aflnet,2,b_abs,703
1764509423,forked-daapd,chatafl,1,l_per,6.3
1764509423,forked-daapd,chatafl,1,l_abs,1991
1764509423,forked-daapd,chatafl,1,b_per,5.0
1764509423,forked-daapd,chatafl,1,b_abs,702
1764509428,forked-daapd,chatafl,1,l_per,6.3
1764509428,forked-daapd,chatafl,1,l_abs,1992
1764509428,forked-daapd,chatafl,1,b_per,5.0
1764509428,forked-daapd,chatafl,1,b_abs,703
1764509423,forked-daapd,chatafl,1,l_per,6.3
1764509423,forked-daapd,chatafl,1,l_abs,1992
1764509423,forked-daapd,chatafl,1,b_per,5.0
1764509423,forked-daapd,chatafl,1,b_abs,703
1764509428,forked-daapd,chatafl,1,l_per,6.3
1764509428,forked-daapd,chatafl,1,l_abs,1992
1764509428,forked-daapd,chatafl,1,b_per,5.0
1764509428,forked-daapd,chatafl,1,b_abs,703
1764509435,forked-daapd,chatafl,2,l_per,6.3
1764509435,forked-daapd,chatafl,2,l_abs,1991
1764509435,forked-daapd,chatafl,2,b_per,5.0
1764509435,forked-daapd,chatafl,2,b_abs,702
1764509440,forked-daapd,chatafl,2,l_per,6.3
1764509440,forked-daapd,chatafl,2,l_abs,1992
1764509440,forked-daapd,chatafl,2,b_per,5.0
1764509440,forked-daapd,chatafl,2,b_abs,703
1764509435,forked-daapd,chatafl,2,l_per,6.3
1764509435,forked-daapd,chatafl,2,l_abs,1992
1764509435,forked-daapd,chatafl,2,b_per,5.0
1764509435,forked-daapd,chatafl,2,b_abs,703
1764509440,forked-daapd,chatafl,2,l_per,6.3
1764509440,forked-daapd,chatafl,2,l_abs,1992
1764509440,forked-daapd,chatafl,2,b_per,5.0
1764509440,forked-daapd,chatafl,2,b_abs,703
1764509437,forked-daapd,xpgfuzz,1,l_per,6.3
1764509437,forked-daapd,xpgfuzz,1,l_abs,1991
1764509437,forked-daapd,xpgfuzz,1,b_per,5.0
1764509437,forked-daapd,xpgfuzz,1,b_abs,702
1764509442,forked-daapd,xpgfuzz,1,l_per,6.3
1764509442,forked-daapd,xpgfuzz,1,l_abs,1992
1764509442,forked-daapd,xpgfuzz,1,b_per,5.0
1764509442,forked-daapd,xpgfuzz,1,b_abs,703
1764509437,forked-daapd,xpgfuzz,1,l_per,6.3
1764509437,forked-daapd,xpgfuzz,1,l_abs,1992
1764509437,forked-daapd,xpgfuzz,1,b_per,5.0
1764509437,forked-daapd,xpgfuzz,1,b_abs,703
1764509442,forked-daapd,xpgfuzz,1,l_per,6.3
1764509442,forked-daapd,xpgfuzz,1,l_abs,1992
1764509442,forked-daapd,xpgfuzz,1,b_per,5.0
1764509442,forked-daapd,xpgfuzz,1,b_abs,703
1764509431,forked-daapd,xpgfuzz,2,l_per,6.3
1764509431,forked-daapd,xpgfuzz,2,l_abs,1992
1764509431,forked-daapd,xpgfuzz,2,b_per,5.0
1764509431,forked-daapd,xpgfuzz,2,b_abs,703
1764509436,forked-daapd,xpgfuzz,2,l_per,6.3
1764509436,forked-daapd,xpgfuzz,2,l_abs,1992
1764509436,forked-daapd,xpgfuzz,2,b_per,5.0
1764509436,forked-daapd,xpgfuzz,2,b_abs,703
1764509431,forked-daapd,xpgfuzz,2,l_per,6.3
1764509431,forked-daapd,xpgfuzz,2,l_abs,1992
1764509431,forked-daapd,xpgfuzz,2,b_per,5.0
1764509431,forked-daapd,xpgfuzz,2,b_abs,703
1764509436,forked-daapd,xpgfuzz,2,l_per,6.3
1764509436,forked-daapd,xpgfuzz,2,l_abs,1992
1764509436,forked-daapd,xpgfuzz,2,b_per,5.0
1764509436,forked-daapd,xpgfuzz,2,b_abs,703
