time,subject,fuzzer,run,cov_type,cov
1764509470,kamailio,chatafl,1,l_per,2.9
1764509470,kamailio,chatafl,1,l_abs,6886
1764509470,kamailio,chatafl,1,b_per,0.6
1764509470,kamailio,chatafl,1,b_abs,3140
1764509470,kamailio,chatafl,1,l_per,2.9
1764509470,kamailio,chatafl,1,l_abs,6886
1764509470,kamailio,chatafl,1,b_per,0.6
1764509470,kamailio,chatafl,1,b_abs,3141
1764509504,kamailio,chatafl,2,l_per,2.9
1764509504,kamailio,chatafl,2,l_abs,6886
1764509504,kamailio,chatafl,2,b_per,0.6
1764509504,kamailio,chatafl,2,b_abs,3140
1764509504,kamailio,chatafl,2,l_per,2.9
1764509504,kamailio,chatafl,2,l_abs,6886
1764509504,kamailio,chatafl,2,b_per,0.6
1764509504,kamailio,chatafl,2,b_abs,3141
1764509553,kamailio,xpgfuzz,1,l_per,2.9
1764509553,kamailio,xpgfuzz,1,l_abs,6886
1764509553,kamailio,xpgfuzz,1,b_per,0.6
1764509553,kamailio,xpgfuzz,1,b_abs,3140
1764509553,kamailio,xpgfuzz,1,l_per,2.9
1764509553,kamailio,xpgfuzz,1,l_abs,6886
1764509553,kamailio,xpgfuzz,1,b_per,0.6
1764509553,kamailio,xpgfuzz,1,b_abs,3141
1764509587,kamailio,xpgfuzz,2,l_per,2.9
1764509587,kamailio,xpgfuzz,2,l_abs,6886
1764509587,kamailio,xpgfuzz,2,b_per,0.6
1764509587,kamailio,xpgfuzz,2,b_abs,3140
1764509587,kamailio,xpgfuzz,2,l_per,2.9
1764509587,kamailio,xpgfuzz,2,l_abs,6886
1764509587,kamailio,xpgfuzz,2,b_per,0.6
1764509587,kamailio,xpgfuzz,2,b_abs,3141
