time,subject,fuzzer,run,state_type,state
1764774456,lighttpd1,aflnet,1,nodes,4
1764774456,lighttpd1,aflnet,1,edges,3
1764774501,lighttpd1,aflnet,1,nodes,4
1764774501,lighttpd1,aflnet,1,edges,3
1764774545,lighttpd1,aflnet,1,nodes,5
1764774545,lighttpd1,aflnet,1,edges,4
1764774556,lighttpd1,aflnet,1,nodes,5
1764774556,lighttpd1,aflnet,1,edges,5
1764774602,lighttpd1,aflnet,1,nodes,5
1764774602,lighttpd1,aflnet,1,edges,5
1764774613,lighttpd1,aflnet,1,nodes,5
1764774613,lighttpd1,aflnet,1,edges,5
1764774625,lighttpd1,aflnet,1,nodes,5
1764774625,lighttpd1,aflnet,1,edges,5
1764774637,lighttpd1,aflnet,1,nodes,5
1764774637,lighttpd1,aflnet,1,edges,5
1764774682,lighttpd1,aflnet,1,nodes,5
1764774682,lighttpd1,aflnet,1,edges,5
1764774729,lighttpd1,aflnet,1,nodes,5
1764774729,lighttpd1,aflnet,1,edges,5
1764774779,lighttpd1,aflnet,1,nodes,5
1764774779,lighttpd1,aflnet,1,edges,5
1764774791,lighttpd1,aflnet,1,nodes,5
1764774791,lighttpd1,aflnet,1,edges,5
1764774832,lighttpd1,aflnet,1,nodes,5
1764774832,lighttpd1,aflnet,1,edges,5
1764774843,lighttpd1,aflnet,1,nodes,5
1764774843,lighttpd1,aflnet,1,edges,5
1764774855,lighttpd1,aflnet,1,nodes,5
1764774855,lighttpd1,aflnet,1,edges,5
1764774865,lighttpd1,aflnet,1,nodes,5
1764774865,lighttpd1,aflnet,1,edges,5
1764774871,lighttpd1,aflnet,1,nodes,5
1764774871,lighttpd1,aflnet,1,edges,5
1764774888,lighttpd1,aflnet,1,nodes,5
1764774888,lighttpd1,aflnet,1,edges,5
1764774932,lighttpd1,aflnet,1,nodes,5
1764774932,lighttpd1,aflnet,1,edges,5
1764774977,lighttpd1,aflnet,1,nodes,5
1764774977,lighttpd1,aflnet,1,edges,5
1764774990,lighttpd1,aflnet,1,nodes,5
1764774990,lighttpd1,aflnet,1,edges,5
1764775044,lighttpd1,aflnet,1,nodes,5
1764775044,lighttpd1,aflnet,1,edges,5
1764775050,lighttpd1,aflnet,1,nodes,5
1764775050,lighttpd1,aflnet,1,edges,5
1764775067,lighttpd1,aflnet,1,nodes,5
1764775067,lighttpd1,aflnet,1,edges,5
1764775072,lighttpd1,aflnet,1,nodes,5
1764775072,lighttpd1,aflnet,1,edges,5
1764775089,lighttpd1,aflnet,1,nodes,5
1764775089,lighttpd1,aflnet,1,edges,5
