subject,fuzzer,data_type,time,data
live555,aflnet,nodes,0,0.0
live555,aflnet,nodes,1,6.0
live555,aflnet,nodes,2,6.0
live555,aflnet,nodes,3,6.0
live555,aflnet,nodes,4,6.0
live555,aflnet,nodes,5,6.0
live555,aflnet,nodes,6,6.0
live555,aflnet,nodes,7,6.0
live555,aflnet,nodes,8,6.0
live555,aflnet,nodes,9,6.0
live555,aflnet,nodes,10,6.0
live555,aflnet,nodes,11,6.0
live555,aflnet,nodes,12,6.0
live555,aflnet,nodes,13,6.0
live555,aflnet,nodes,14,6.0
live555,aflnet,nodes,15,6.0
live555,aflnet,nodes,16,6.0
live555,aflnet,nodes,17,6.0
live555,aflnet,nodes,18,6.0
live555,aflnet,nodes,19,7.0
live555,aflnet,nodes,20,7.0
live555,aflnet,nodes,21,7.0
live555,aflnet,nodes,22,7.0
live555,aflnet,nodes,23,7.0
live555,aflnet,nodes,24,7.0
live555,aflnet,nodes,25,7.0
live555,aflnet,nodes,26,7.0
live555,aflnet,nodes,27,7.0
live555,aflnet,nodes,28,9.0
live555,aflnet,nodes,29,9.0
live555,aflnet,nodes,30,9.0
live555,aflnet,nodes,31,9.0
live555,aflnet,nodes,32,9.0
live555,aflnet,nodes,33,9.0
live555,aflnet,nodes,34,9.0
live555,aflnet,nodes,35,9.0
live555,aflnet,nodes,36,9.0
live555,aflnet,nodes,37,9.0
live555,aflnet,nodes,38,9.0
live555,aflnet,nodes,39,9.0
live555,aflnet,nodes,40,9.0
live555,aflnet,nodes,41,9.0
live555,aflnet,nodes,42,9.0
live555,aflnet,nodes,43,9.0
live555,aflnet,nodes,44,9.0
live555,aflnet,nodes,45,9.0
live555,aflnet,nodes,46,9.0
live555,aflnet,nodes,47,9.0
live555,aflnet,nodes,48,9.0
live555,aflnet,nodes,49,9.0
live555,aflnet,nodes,50,9.0
live555,aflnet,nodes,51,9.0
live555,aflnet,nodes,52,9.0
live555,aflnet,nodes,53,9.0
live555,aflnet,nodes,54,9.0
live555,aflnet,nodes,55,9.0
live555,aflnet,nodes,56,9.0
live555,aflnet,nodes,57,9.0
live555,aflnet,nodes,58,9.0
live555,aflnet,nodes,59,9.0
live555,aflnet,nodes,60,9.0
live555,aflnet,nodes,61,9.0
live555,aflnet,nodes,62,9.0
live555,aflnet,nodes,63,9.0
live555,aflnet,nodes,64,9.0
live555,aflnet,nodes,65,9.0
live555,aflnet,nodes,66,9.0
live555,aflnet,nodes,67,9.0
live555,aflnet,nodes,68,9.0
live555,aflnet,nodes,69,9.0
live555,aflnet,nodes,70,9.0
live555,aflnet,nodes,71,9.0
live555,aflnet,nodes,72,9.0
live555,aflnet,nodes,73,9.0
live555,aflnet,nodes,74,9.0
live555,aflnet,nodes,75,9.0
live555,aflnet,nodes,76,9.0
live555,aflnet,nodes,77,9.0
live555,aflnet,nodes,78,9.0
live555,aflnet,nodes,79,9.0
live555,aflnet,nodes,80,9.0
live555,aflnet,nodes,81,9.0
live555,aflnet,nodes,82,9.0
live555,aflnet,nodes,83,9.0
live555,aflnet,nodes,84,9.0
live555,aflnet,nodes,85,9.0
live555,aflnet,nodes,86,9.0
live555,aflnet,nodes,87,9.0
live555,aflnet,nodes,88,9.0
live555,aflnet,nodes,89,9.0
live555,aflnet,nodes,90,9.0
live555,aflnet,nodes,91,9.0
live555,aflnet,nodes,92,9.0
live555,aflnet,nodes,93,9.0
live555,aflnet,nodes,94,9.0
live555,aflnet,nodes,95,9.0
live555,aflnet,nodes,96,9.0
live555,aflnet,nodes,97,9.0
live555,aflnet,nodes,98,9.0
live555,aflnet,nodes,99,9.0
live555,aflnet,nodes,100,9.0
live555,aflnet,nodes,101,9.0
live555,aflnet,nodes,102,9.0
live555,aflnet,nodes,103,9.0
live555,aflnet,nodes,104,9.0
live555,aflnet,nodes,105,9.0
live555,aflnet,nodes,106,9.0
live555,aflnet,nodes,107,9.0
