Time,l_per,l_abs,b_per,b_abs
1764776530,13.7,3238,8.2,1523
1764778931,14.3,3389,8.5,1570
1764781333,17.2,4086,10.2,1892
1764783734,19.4,4610,11.4,2114
1764786136,21.1,5027,12.3,2273
1764788538,21.8,5186,12.8,2378
1764790939,22.4,5334,13.3,2454
1764776530,22.4,5334,13.3,2454
1764778931,22.4,5334,13.3,2454
1764781333,22.4,5334,13.3,2454
1764783734,22.4,5334,13.3,2454
1764786136,22.4,5334,13.3,2454
1764788538,22.6,5380,13.3,2471
1764790939,22.6,5380,13.3,2471
1764791003,22.6,5384,13.4,2486
1764791544,22.6,5386,13.4,2488
1764792085,22.7,5409,13.5,2503
1764792625,22.7,5414,13.5,2508
1764795087,22.7,5414,13.5,2509
1764795628,22.7,5414,13.5,2509
1764798090,22.7,5414,13.6,2510
1764800552,22.7,5414,13.6,2510
1764801092,22.7,5414,13.6,2511
1764801633,22.7,5414,13.6,2511
1764802173,22.7,5414,13.6,2511
1764802773,22.7,5414,13.6,2511
1764803314,22.7,5414,13.6,2511
1764803854,22.7,5414,13.6,2511
1764804635,22.7,5414,13.6,2511
1764805175,22.7,5414,13.6,2512
1764805716,22.7,5414,13.6,2513
1764806316,22.7,5417,13.6,2516
1764806917,22.7,5417,13.6,2516
1764807697,22.7,5417,13.6,2518
1764808238,22.8,5430,13.6,2525
1764809018,22.8,5430,13.6,2525
1764809618,22.8,5430,13.6,2527
1764810219,22.8,5431,13.7,2530
1764810759,22.8,5432,13.7,2532
1764811419,22.8,5432,13.7,2532
1764812019,22.8,5432,13.7,2532
1764812680,22.8,5432,13.7,2532
1764815143,22.8,5432,13.7,2532
1764815744,22.8,5432,13.7,2532
1764816284,22.8,5432,13.7,2532
1764816884,22.8,5432,13.7,2532
1764817425,22.8,5432,13.7,2532
1764817966,22.8,5432,13.7,2534
1764820429,22.8,5432,13.7,2534
1764821149,22.8,5432,13.7,2535
1764821810,22.8,5432,13.7,2535
1764822350,22.8,5432,13.7,2535
1764823130,22.8,5432,13.7,2535
1764823731,22.9,5465,13.8,2557
1764824451,22.9,5465,13.8,2557
1764824992,22.9,5465,13.8,2557
1764825532,22.9,5465,13.8,2557
1764826133,22.9,5467,13.8,2559
1764826793,22.9,5467,13.8,2559
1764827393,22.9,5467,13.8,2559
1764828234,22.9,5467,13.8,2559
1764830695,22.9,5467,13.8,2560
1764831296,22.9,5467,13.8,2562
1764832076,22.9,5467,13.8,2563
1764832677,22.9,5473,13.8,2564
1764833639,22.9,5473,13.8,2565
1764834420,22.9,5474,13.9,2574
1764835322,22.9,5474,13.9,2574
1764836164,23.0,5479,13.9,2580
1764836705,23.0,5479,13.9,2580
1764837306,23.0,5479,13.9,2580
1764838328,23.0,5479,13.9,2580
1764839109,23.0,5479,13.9,2580
1764840432,23.0,5479,14.0,2584
1764840974,23.0,5479,14.0,2584
1764841996,23.0,5479,14.0,2584
1764842778,23.0,5479,14.0,2584
1764843439,23.0,5479,14.0,2584
1764844220,23.0,5479,14.0,2584
1764844821,23.0,5479,14.0,2584
1764845361,23.0,5479,14.0,2586
1764845962,23.0,5479,14.0,2586
1764846923,23.0,5479,14.0,2587
1764847463,23.0,5479,14.0,2587
1764848906,23.0,5479,14.0,2587
1764849627,23.0,5479,14.0,2587
1764850167,23.0,5479,14.0,2587
1764851729,23.0,5479,14.0,2587
1764852570,23.0,5479,14.0,2589
1764853472,23.0,5479,14.0,2589
1764854013,23.0,5479,14.0,2589
1764854615,23.0,5486,14.0,2593
1764855276,23.0,5486,14.0,2593
1764855817,23.0,5486,14.0,2593
1764856478,23.0,5486,14.0,2593
1764859364,23.0,5486,14.0,2593
1764861047,23.0,5486,14.0,2593
1764862009,23.0,5486,14.0,2593
1764862972,23.0,5486,14.0,2593
1764863693,23.0,5487,14.0,2594
