time,subject,fuzzer,run,cov_type,cov
1764776409,live555,aflnet,1,l_per,13.6
1764776409,live555,aflnet,1,l_abs,3223
1764776409,live555,aflnet,1,b_per,8.1
1764776409,live555,aflnet,1,b_abs,1498
1764778810,live555,aflnet,1,l_per,14.2
1764778810,live555,aflnet,1,l_abs,3368
1764778810,live555,aflnet,1,b_per,8.3
1764778810,live555,aflnet,1,b_abs,1537
1764781212,live555,aflnet,1,l_per,17.1
1764781212,live555,aflnet,1,l_abs,4067
1764781212,live555,aflnet,1,b_per,10.0
1764781212,live555,aflnet,1,b_abs,1861
1764783613,live555,aflnet,1,l_per,19.3
1764783613,live555,aflnet,1,l_abs,4591
1764783613,live555,aflnet,1,b_per,11.2
1764783613,live555,aflnet,1,b_abs,2083
1764786015,live555,aflnet,1,l_per,21.0
1764786015,live555,aflnet,1,l_abs,5008
1764786015,live555,aflnet,1,b_per,12.1
1764786015,live555,aflnet,1,b_abs,2242
1764788416,live555,aflnet,1,l_per,21.9
1764788416,live555,aflnet,1,l_abs,5216
1764788416,live555,aflnet,1,b_per,12.8
1764788416,live555,aflnet,1,b_abs,2365
1764790818,live555,aflnet,1,l_per,22.5
1764790818,live555,aflnet,1,l_abs,5364
1764790818,live555,aflnet,1,b_per,13.2
1764790818,live555,aflnet,1,b_abs,2441
1764776409,live555,aflnet,1,l_per,22.5
1764776409,live555,aflnet,1,l_abs,5364
1764776409,live555,aflnet,1,b_per,13.2
1764776409,live555,aflnet,1,b_abs,2441
1764778810,live555,aflnet,1,l_per,22.5
1764778810,live555,aflnet,1,l_abs,5364
1764778810,live555,aflnet,1,b_per,13.2
1764778810,live555,aflnet,1,b_abs,2441
1764781212,live555,aflnet,1,l_per,22.5
1764781212,live555,aflnet,1,l_abs,5364
1764781212,live555,aflnet,1,b_per,13.2
1764781212,live555,aflnet,1,b_abs,2441
1764783613,live555,aflnet,1,l_per,22.5
1764783613,live555,aflnet,1,l_abs,5364
1764783613,live555,aflnet,1,b_per,13.2
1764783613,live555,aflnet,1,b_abs,2441
1764786015,live555,aflnet,1,l_per,22.5
1764786015,live555,aflnet,1,l_abs,5364
1764786015,live555,aflnet,1,b_per,13.2
1764786015,live555,aflnet,1,b_abs,2441
1764788416,live555,aflnet,1,l_per,22.5
1764788416,live555,aflnet,1,l_abs,5364
1764788416,live555,aflnet,1,b_per,13.2
1764788416,live555,aflnet,1,b_abs,2441
1764790818,live555,aflnet,1,l_per,22.5
1764790818,live555,aflnet,1,l_abs,5364
1764790818,live555,aflnet,1,b_per,13.2
1764790818,live555,aflnet,1,b_abs,2441
1764790882,live555,aflnet,1,l_per,22.6
1764790882,live555,aflnet,1,l_abs,5387
1764790882,live555,aflnet,1,b_per,13.3
1764790882,live555,aflnet,1,b_abs,2455
1764791422,live555,aflnet,1,l_per,22.6
1764791422,live555,aflnet,1,l_abs,5387
1764791422,live555,aflnet,1,b_per,13.3
1764791422,live555,aflnet,1,b_abs,2471
1764791963,live555,aflnet,1,l_per,22.6
1764791963,live555,aflnet,1,l_abs,5392
1764791963,live555,aflnet,1,b_per,13.4
1764791963,live555,aflnet,1,b_abs,2475
1764792503,live555,aflnet,1,l_per,22.7
1764792503,live555,aflnet,1,l_abs,5405
1764792503,live555,aflnet,1,b_per,13.4
1764792503,live555,aflnet,1,b_abs,2485
1764793043,live555,aflnet,1,l_per,22.7
1764793043,live555,aflnet,1,l_abs,5405
1764793043,live555,aflnet,1,b_per,13.4
1764793043,live555,aflnet,1,b_abs,2485
1764793584,live555,aflnet,1,l_per,22.7
1764793584,live555,aflnet,1,l_abs,5405
1764793584,live555,aflnet,1,b_per,13.4
1764793584,live555,aflnet,1,b_abs,2485
1764794124,live555,aflnet,1,l_per,22.7
1764794124,live555,aflnet,1,l_abs,5418
1764794124,live555,aflnet,1,b_per,13.5
1764794124,live555,aflnet,1,b_abs,2492
1764796585,live555,aflnet,1,l_per,22.7
1764796585,live555,aflnet,1,l_abs,5421
