time,subject,fuzzer,run,state_type,state
1764790882,live555,aflnet,1,nodes,6
1764790882,live555,aflnet,1,edges,7
1764791422,live555,aflnet,1,nodes,6
1764791422,live555,aflnet,1,edges,8
1764791963,live555,aflnet,1,nodes,7
1764791963,live555,aflnet,1,edges,10
1764792503,live555,aflnet,1,nodes,9
1764792503,live555,aflnet,1,edges,12
1764793043,live555,aflnet,1,nodes,9
1764793043,live555,aflnet,1,edges,12
1764793584,live555,aflnet,1,nodes,9
1764793584,live555,aflnet,1,edges,13
1764794124,live555,aflnet,1,nodes,9
1764794124,live555,aflnet,1,edges,14
1764796585,live555,aflnet,1,nodes,9
1764796585,live555,aflnet,1,edges,15
1764797186,live555,aflnet,1,nodes,9
1764797186,live555,aflnet,1,edges,15
1764797726,live555,aflnet,1,nodes,9
1764797726,live555,aflnet,1,edges,16
1764798266,live555,aflnet,1,nodes,9
1764798266,live555,aflnet,1,edges,17
1764800729,live555,aflnet,1,nodes,9
1764800729,live555,aflnet,1,edges,17
1764801270,live555,aflnet,1,nodes,9
1764801270,live555,aflnet,1,edges,18
1764801810,live555,aflnet,1,nodes,9
1764801810,live555,aflnet,1,edges,18
1764802350,live555,aflnet,1,nodes,9
1764802350,live555,aflnet,1,edges,19
1764802951,live555,aflnet,1,nodes,9
1764802951,live555,aflnet,1,edges,20
1764803551,live555,aflnet,1,nodes,9
1764803551,live555,aflnet,1,edges,20
1764804091,live555,aflnet,1,nodes,9
1764804091,live555,aflnet,1,edges,20
1764804631,live555,aflnet,1,nodes,9
1764804631,live555,aflnet,1,edges,20
1764805232,live555,aflnet,1,nodes,9
1764805232,live555,aflnet,1,edges,20
1764805832,live555,aflnet,1,nodes,9
1764805832,live555,aflnet,1,edges,20
1764806372,live555,aflnet,1,nodes,9
1764806372,live555,aflnet,1,edges,21
1764806913,live555,aflnet,1,nodes,9
1764806913,live555,aflnet,1,edges,22
1764807453,live555,aflnet,1,nodes,9
1764807453,live555,aflnet,1,edges,22
1764807994,live555,aflnet,1,nodes,9
1764807994,live555,aflnet,1,edges,24
1764808534,live555,aflnet,1,nodes,9
1764808534,live555,aflnet,1,edges,24
1764809074,live555,aflnet,1,nodes,9
1764809074,live555,aflnet,1,edges,24
1764809615,live555,aflnet,1,nodes,9
1764809615,live555,aflnet,1,edges,25
1764810155,live555,aflnet,1,nodes,9
1764810155,live555,aflnet,1,edges,27
1764810696,live555,aflnet,1,nodes,9
1764810696,live555,aflnet,1,edges,27
1764811296,live555,aflnet,1,nodes,9
1764811296,live555,aflnet,1,edges,27
1764811837,live555,aflnet,1,nodes,9
1764811837,live555,aflnet,1,edges,27
1764812377,live555,aflnet,1,nodes,9
1764812377,live555,aflnet,1,edges,27
1764812918,live555,aflnet,1,nodes,9
1764812918,live555,aflnet,1,edges,27
1764813518,live555,aflnet,1,nodes,9
1764813518,live555,aflnet,1,edges,27
1764814058,live555,aflnet,1,nodes,9
1764814058,live555,aflnet,1,edges,27
1764814599,live555,aflnet,1,nodes,9
1764814599,live555,aflnet,1,edges,27
1764815199,live555,aflnet,1,nodes,9
1764815199,live555,aflnet,1,edges,27
1764815739,live555,aflnet,1,nodes,9
1764815739,live555,aflnet,1,edges,28
1764816279,live555,aflnet,1,nodes,9
1764816279,live555,aflnet,1,edges,29
1764816820,live555,aflnet,1,nodes,9
1764816820,live555,aflnet,1,edges,29
1764817480,live555,aflnet,1,nodes,9
1764817480,live555,aflnet,1,edges,29
1764818082,live555,aflnet,1,nodes,9
1764818082,live555,aflnet,1,edges,29
1764818682,live555,aflnet,1,nodes,9
1764818682,live555,aflnet,1,edges,29
1764819223,live555,aflnet,1,nodes,9
1764819223,live555,aflnet,1,edges,30
1764819763,live555,aflnet,1,nodes,9
1764819763,live555,aflnet,1,edges,31
1764820424,live555,aflnet,1,nodes,9
1764820424,live555,aflnet,1,edges,31
1764821084,live555,aflnet,1,nodes,9
1764821084,live555,aflnet,1,edges,31
1764823606,live555,aflnet,1,nodes,9
1764823606,live555,aflnet,1,edges,32
1764824206,live555,aflnet,1,nodes,9
1764824206,live555,aflnet,1,edges,33
1764824927,live555,aflnet,1,nodes,9
1764824927,live555,aflnet,1,edges,33
1764825467,live555,aflnet,1,nodes,9
1764825467,live555,aflnet,1,edges,33
1764826008,live555,aflnet,1,nodes,9
1764826008,live555,aflnet,1,edges,34
1764826548,live555,aflnet,1,nodes,9
1764826548,live555,aflnet,1,edges,34
1764827148,live555,aflnet,1,nodes,9
1764827148,live555,aflnet,1,edges,34
1764827688,live555,aflnet,1,nodes,9
1764827688,live555,aflnet,1,edges,34
1764828289,live555,aflnet,1,nodes,9
1764828289,live555,aflnet,1,edges,34
1764828829,live555,aflnet,1,nodes,9
1764828829,live555,aflnet,1,edges,36
1764829490,live555,aflnet,1,nodes,9
1764829490,live555,aflnet,1,edges,36
1764830331,live555,aflnet,1,nodes,9
1764830331,live555,aflnet,1,edges,36
1764830931,live555,aflnet,1,nodes,9
1764830931,live555,aflnet,1,edges,36
1764831833,live555,aflnet,1,nodes,9
1764831833,live555,aflnet,1,edges,36
1764832494,live555,aflnet,1,nodes,9
1764832494,live555,aflnet,1,edges,36
1764833035,live555,aflnet,1,nodes,9
1764833035,live555,aflnet,1,edges,36
1764833637,live555,aflnet,1,nodes,9
1764833637,live555,aflnet,1,edges,38
1764834178,live555,aflnet,1,nodes,9
1764834178,live555,aflnet,1,edges,38
1764834719,live555,aflnet,1,nodes,9
1764834719,live555,aflnet,1,edges,38
1764835259,live555,aflnet,1,nodes,9
1764835259,live555,aflnet,1,edges,39
1764836101,live555,aflnet,1,nodes,9
1764836101,live555,aflnet,1,edges,40
1764836702,live555,aflnet,1,nodes,9
1764836702,live555,aflnet,1,edges,40
1764837244,live555,aflnet,1,nodes,9
1764837244,live555,aflnet,1,edges,40
1764837784,live555,aflnet,1,nodes,9
1764837784,live555,aflnet,1,edges,40
