time,subject,fuzzer,run,cov_type,cov
1764774011,proftpd,aflnet,1,l_per,18.7
1764774011,proftpd,aflnet,1,l_abs,7972
1764774011,proftpd,aflnet,1,b_per,13.0
1764774011,proftpd,aflnet,1,b_abs,3373
1764774016,proftpd,aflnet,1,l_per,19.3
1764774016,proftpd,aflnet,1,l_abs,8229
1764774016,proftpd,aflnet,1,b_per,13.5
1764774016,proftpd,aflnet,1,b_abs,3516
1764774022,proftpd,aflnet,1,l_per,20.9
1764774022,proftpd,aflnet,1,l_abs,8903
1764774022,proftpd,aflnet,1,b_per,14.9
1764774022,proftpd,aflnet,1,b_abs,3868
1764774022,proftpd,aflnet,1,l_per,21.2
1764774022,proftpd,aflnet,1,l_abs,9019
1764774022,proftpd,aflnet,1,b_per,15.1
1764774022,proftpd,aflnet,1,b_abs,3920
1764774011,proftpd,aflnet,1,l_per,21.2
1764774011,proftpd,aflnet,1,l_abs,9019
1764774011,proftpd,aflnet,1,b_per,15.1
1764774011,proftpd,aflnet,1,b_abs,3920
1764774016,proftpd,aflnet,1,l_per,21.2
1764774016,proftpd,aflnet,1,l_abs,9019
1764774016,proftpd,aflnet,1,b_per,15.1
1764774016,proftpd,aflnet,1,b_abs,3920
1764774022,proftpd,aflnet,1,l_per,21.2
1764774022,proftpd,aflnet,1,l_abs,9019
1764774022,proftpd,aflnet,1,b_per,15.1
1764774022,proftpd,aflnet,1,b_abs,3920
1764774022,proftpd,aflnet,1,l_per,21.2
1764774022,proftpd,aflnet,1,l_abs,9019
1764774022,proftpd,aflnet,1,b_per,15.1
1764774022,proftpd,aflnet,1,b_abs,3920
1764774027,proftpd,aflnet,1,l_per,21.2
1764774027,proftpd,aflnet,1,l_abs,9052
1764774027,proftpd,aflnet,1,b_per,15.2
1764774027,proftpd,aflnet,1,b_abs,3946
1764774028,proftpd,aflnet,1,l_per,21.2
1764774028,proftpd,aflnet,1,l_abs,9052
1764774028,proftpd,aflnet,1,b_per,15.2
1764774028,proftpd,aflnet,1,b_abs,3946
1764774033,proftpd,aflnet,1,l_per,21.2
1764774033,proftpd,aflnet,1,l_abs,9052
1764774033,proftpd,aflnet,1,b_per,15.2
1764774033,proftpd,aflnet,1,b_abs,3946
1764774039,proftpd,aflnet,1,l_per,21.2
1764774039,proftpd,aflnet,1,l_abs,9054
1764774039,proftpd,aflnet,1,b_per,15.2
1764774039,proftpd,aflnet,1,b_abs,3948
1764774045,proftpd,aflnet,1,l_per,21.2
1764774045,proftpd,aflnet,1,l_abs,9054
1764774045,proftpd,aflnet,1,b_per,15.2
1764774045,proftpd,aflnet,1,b_abs,3948
1764774051,proftpd,aflnet,1,l_per,21.2
1764774051,proftpd,aflnet,1,l_abs,9054
1764774051,proftpd,aflnet,1,b_per,15.2
1764774051,proftpd,aflnet,1,b_abs,3948
1764774052,proftpd,aflnet,1,l_per,21.2
1764774052,proftpd,aflnet,1,l_abs,9054
1764774052,proftpd,aflnet,1,b_per,15.2
1764774052,proftpd,aflnet,1,b_abs,3948
1764774053,proftpd,aflnet,1,l_per,21.2
1764774053,proftpd,aflnet,1,l_abs,9054
1764774053,proftpd,aflnet,1,b_per,15.2
1764774053,proftpd,aflnet,1,b_abs,3948
1764774055,proftpd,aflnet,1,l_per,21.2
1764774055,proftpd,aflnet,1,l_abs,9054
1764774055,proftpd,aflnet,1,b_per,15.2
1764774055,proftpd,aflnet,1,b_abs,3950
1764774060,proftpd,aflnet,1,l_per,21.2
1764774060,proftpd,aflnet,1,l_abs,9054
1764774060,proftpd,aflnet,1,b_per,15.2
1764774060,proftpd,aflnet,1,b_abs,3950
1764774066,proftpd,aflnet,1,l_per,21.3
1764774066,proftpd,aflnet,1,l_abs,9069
1764774066,proftpd,aflnet,1,b_per,15.2
1764774066,proftpd,aflnet,1,b_abs,3963
1764774068,proftpd,aflnet,1,l_per,21.3
1764774068,proftpd,aflnet,1,l_abs,9069
1764774068,proftpd,aflnet,1,b_per,15.2
1764774068,proftpd,aflnet,1,b_abs,3963
1764774074,proftpd,aflnet,1,l_per,21.3
