subject,fuzzer,data_type,time,data
proftpd,aflnet,nodes,0,0.0
proftpd,aflnet,nodes,1,14.0
proftpd,aflnet,nodes,2,14.0
proftpd,aflnet,nodes,3,14.0
proftpd,aflnet,nodes,4,14.0
proftpd,aflnet,nodes,5,16.0
proftpd,aflnet,nodes,6,16.0
proftpd,aflnet,nodes,7,17.0
proftpd,aflnet,nodes,8,17.0
proftpd,aflnet,nodes,9,17.0
proftpd,aflnet,nodes,10,17.0
proftpd,aflnet,nodes,11,17.0
proftpd,aflnet,nodes,12,17.0
proftpd,aflnet,nodes,13,17.0
proftpd,aflnet,nodes,14,17.0
proftpd,aflnet,nodes,15,17.0
proftpd,aflnet,nodes,16,17.0
proftpd,aflnet,nodes,17,17.0
proftpd,aflnet,nodes,18,17.0
proftpd,aflnet,nodes,19,17.0
proftpd,aflnet,nodes,20,17.0
proftpd,aflnet,nodes,21,17.0
proftpd,aflnet,nodes,22,17.0
proftpd,aflnet,nodes,23,17.0
proftpd,aflnet,nodes,24,17.0
proftpd,aflnet,nodes,25,17.0
proftpd,aflnet,nodes,26,17.0
proftpd,aflnet,nodes,27,17.0
proftpd,aflnet,nodes,28,17.0
proftpd,aflnet,nodes,29,17.0
proftpd,aflnet,nodes,30,17.0
proftpd,aflnet,nodes,31,17.0
proftpd,aflnet,nodes,32,17.0
proftpd,aflnet,nodes,33,17.0
proftpd,aflnet,nodes,34,17.0
proftpd,aflnet,nodes,35,17.0
proftpd,aflnet,nodes,36,17.0
proftpd,aflnet,nodes,37,17.0
proftpd,aflnet,nodes,38,17.0
proftpd,aflnet,nodes,39,17.0
proftpd,aflnet,nodes,40,17.0
proftpd,aflnet,nodes,41,17.0
proftpd,aflnet,nodes,42,17.0
proftpd,aflnet,nodes,43,18.0
proftpd,aflnet,nodes,44,18.0
proftpd,aflnet,nodes,45,18.0
proftpd,aflnet,nodes,46,18.0
proftpd,aflnet,nodes,47,18.0
proftpd,aflnet,nodes,48,18.0
proftpd,aflnet,nodes,49,18.0
proftpd,aflnet,nodes,50,18.0
proftpd,aflnet,nodes,51,18.0
proftpd,aflnet,nodes,52,18.0
proftpd,aflnet,nodes,53,18.0
proftpd,aflnet,nodes,54,18.0
proftpd,aflnet,nodes,55,18.0
proftpd,aflnet,nodes,56,18.0
proftpd,aflnet,nodes,57,18.0
proftpd,aflnet,nodes,58,18.0
proftpd,aflnet,nodes,59,19.0
proftpd,aflnet,nodes,60,19.0
proftpd,aflnet,nodes,61,19.0
proftpd,aflnet,nodes,62,19.0
proftpd,aflnet,nodes,63,19.0
proftpd,aflnet,nodes,64,19.0
proftpd,aflnet,nodes,65,19.0
proftpd,aflnet,nodes,66,19.0
proftpd,aflnet,nodes,67,19.0
proftpd,aflnet,nodes,68,19.0
proftpd,aflnet,nodes,69,19.0
proftpd,aflnet,nodes,70,19.0
proftpd,aflnet,nodes,71,19.0
proftpd,aflnet,nodes,72,19.0
proftpd,aflnet,nodes,73,19.0
proftpd,aflnet,nodes,74,19.0
proftpd,aflnet,nodes,75,19.0
proftpd,aflnet,nodes,76,19.0
proftpd,aflnet,nodes,77,19.0
proftpd,aflnet,nodes,78,19.0
proftpd,aflnet,nodes,79,19.0
proftpd,aflnet,nodes,80,19.0
proftpd,aflnet,nodes,81,19.0
proftpd,aflnet,nodes,82,19.0
proftpd,aflnet,nodes,83,19.0
proftpd,aflnet,nodes,84,19.0
proftpd,aflnet,nodes,85,19.0
proftpd,aflnet,nodes,86,19.0
proftpd,aflnet,nodes,87,19.0
proftpd,aflnet,nodes,88,19.0
proftpd,aflnet,nodes,89,19.0
proftpd,aflnet,nodes,90,19.0
proftpd,aflnet,nodes,91,19.0
proftpd,aflnet,nodes,92,19.0
proftpd,aflnet,nodes,93,19.0
proftpd,aflnet,nodes,94,19.0
proftpd,aflnet,nodes,95,19.0
proftpd,aflnet,nodes,96,19.0
proftpd,aflnet,nodes,97,19.0
proftpd,aflnet,nodes,98,19.0
proftpd,aflnet,nodes,99,19.0
proftpd,aflnet,nodes,100,19.0
proftpd,aflnet,nodes,101,19.0
proftpd,aflnet,nodes,102,19.0
proftpd,aflnet,nodes,103,19.0
proftpd,aflnet,nodes,104,19.0
proftpd,aflnet,nodes,105,19.0
proftpd,aflnet,nodes,106,19.0
proftpd,aflnet,nodes,107,19.0
proftpd,aflnet,nodes,108,19.0
proftpd,aflnet,nodes,109,19.0
proftpd,aflnet,nodes,110,19.0
proftpd,aflnet,nodes,111,19.0
proftpd,aflnet,nodes,112,19.0
proftpd,aflnet,nodes,113,19.0
proftpd,aflnet,nodes,114,19.0
proftpd,aflnet,nodes,115,19.0
proftpd,aflnet,nodes,116,19.0
proftpd,aflnet,nodes,117,19.0
proftpd,aflnet,nodes,118,19.0
proftpd,aflnet,nodes,119,19.0
proftpd,aflnet,nodes,120,19.0
proftpd,aflnet,nodes,121,19.0
proftpd,aflnet,nodes,122,19.0
proftpd,aflnet,nodes,123,19.0
proftpd,aflnet,nodes,124,19.0
proftpd,aflnet,nodes,125,19.0
proftpd,aflnet,nodes,126,19.0
proftpd,aflnet,nodes,127,19.0
proftpd,aflnet,nodes,128,19.0
proftpd,aflnet,nodes,129,19.0
proftpd,aflnet,nodes,130,19.0
proftpd,aflnet,nodes,131,19.0
proftpd,aflnet,nodes,132,19.0
proftpd,aflnet,nodes,133,19.0
proftpd,aflnet,nodes,134,19.0
proftpd,aflnet,nodes,135,19.0
proftpd,aflnet,nodes,136,19.0
proftpd,aflnet,nodes,137,19.0
proftpd,aflnet,nodes,138,19.0
proftpd,aflnet,nodes,139,19.0
proftpd,aflnet,nodes,140,19.0
proftpd,aflnet,nodes,141,19.0
proftpd,aflnet,nodes,142,19.0
proftpd,aflnet,nodes,143,19.0
proftpd,aflnet,nodes,144,19.0
proftpd,aflnet,nodes,145,19.0
proftpd,aflnet,nodes,146,20.0
proftpd,aflnet,nodes,147,20.0
proftpd,aflnet,nodes,148,20.0
proftpd,aflnet,nodes,149,20.0
proftpd,aflnet,nodes,150,20.0
proftpd,aflnet,nodes,151,20.0
proftpd,aflnet,nodes,152,20.0
proftpd,aflnet,nodes,153,20.0
proftpd,aflnet,nodes,154,20.0
proftpd,aflnet,nodes,155,20.0
proftpd,aflnet,nodes,156,20.0
proftpd,aflnet,nodes,157,20.0
proftpd,aflnet,nodes,158,20.0
proftpd,aflnet,nodes,159,20.0
proftpd,aflnet,nodes,160,20.0
proftpd,aflnet,nodes,161,20.0
proftpd,aflnet,nodes,162,20.0
proftpd,aflnet,nodes,163,20.0
proftpd,aflnet,nodes,164,20.0
proftpd,aflnet,nodes,165,20.0
proftpd,aflnet,nodes,166,20.0
proftpd,aflnet,nodes,167,20.0
proftpd,aflnet,nodes,168,20.0
proftpd,aflnet,nodes,169,20.0
proftpd,aflnet,nodes,170,20.0
proftpd,aflnet,nodes,171,20.0
proftpd,aflnet,nodes,172,20.0
proftpd,aflnet,nodes,173,20.0
proftpd,aflnet,nodes,174,20.0
proftpd,aflnet,nodes,175,20.0
proftpd,aflnet,nodes,176,20.0
proftpd,aflnet,nodes,177,20.0
proftpd,aflnet,nodes,178,20.0
proftpd,aflnet,nodes,179,20.0
proftpd,aflnet,nodes,180,20.0
proftpd,aflnet,nodes,181,20.0
proftpd,aflnet,nodes,182,20.0
proftpd,aflnet,nodes,183,20.0
proftpd,aflnet,nodes,184,20.0
proftpd,aflnet,nodes,185,20.0
proftpd,aflnet,nodes,186,20.0
proftpd,aflnet,nodes,187,20.0
proftpd,aflnet,nodes,188,20.0
proftpd,aflnet,nodes,189,20.0
proftpd,aflnet,nodes,190,20.0
proftpd,aflnet,nodes,191,20.0
proftpd,aflnet,nodes,192,20.0
proftpd,aflnet,nodes,193,20.0
proftpd,aflnet,nodes,194,20.0
proftpd,aflnet,nodes,195,20.0
proftpd,aflnet,nodes,196,20.0
proftpd,aflnet,nodes,197,20.0
proftpd,aflnet,nodes,198,20.0
proftpd,aflnet,nodes,199,20.0
proftpd,aflnet,nodes,200,20.0
proftpd,aflnet,nodes,201,20.0
proftpd,aflnet,nodes,202,20.0
proftpd,aflnet,nodes,203,20.0
proftpd,aflnet,nodes,204,20.0
proftpd,aflnet,nodes,205,20.0
proftpd,aflnet,nodes,206,20.0
proftpd,aflnet,nodes,207,20.0
proftpd,aflnet,nodes,208,20.0
proftpd,aflnet,nodes,209,20.0
proftpd,aflnet,nodes,210,20.0
proftpd,aflnet,nodes,211,20.0
proftpd,aflnet,nodes,212,20.0
proftpd,aflnet,nodes,213,20.0
proftpd,aflnet,nodes,214,20.0
proftpd,aflnet,nodes,215,20.0
proftpd,aflnet,nodes,216,20.0
proftpd,aflnet,nodes,217,20.0
proftpd,aflnet,nodes,218,20.0
proftpd,aflnet,nodes,219,20.0
proftpd,aflnet,nodes,220,20.0
proftpd,aflnet,nodes,221,20.0
proftpd,aflnet,nodes,222,20.0
proftpd,aflnet,nodes,223,20.0
proftpd,aflnet,nodes,224,20.0
proftpd,aflnet,nodes,225,20.0
proftpd,aflnet,nodes,226,20.0
proftpd,aflnet,nodes,227,20.0
proftpd,aflnet,nodes,228,20.0
proftpd,aflnet,nodes,229,20.0
proftpd,aflnet,nodes,230,20.0
proftpd,aflnet,nodes,231,20.0
proftpd,aflnet,nodes,232,20.0
proftpd,aflnet,nodes,233,20.0
proftpd,aflnet,nodes,234,20.0
proftpd,aflnet,nodes,235,20.0
proftpd,aflnet,nodes,236,20.0
proftpd,aflnet,nodes,237,20.0
proftpd,aflnet,nodes,238,20.0
proftpd,aflnet,nodes,239,20.0
proftpd,aflnet,nodes,240,20.0
proftpd,aflnet,nodes,241,20.0
proftpd,aflnet,nodes,242,20.0
proftpd,aflnet,nodes,243,20.0
proftpd,aflnet,nodes,244,20.0
proftpd,aflnet,nodes,245,20.0
proftpd,aflnet,nodes,246,20.0
proftpd,aflnet,nodes,247,20.0
proftpd,aflnet,nodes,248,20.0
proftpd,aflnet,nodes,249,20.0
proftpd,aflnet,nodes,250,20.0
proftpd,aflnet,nodes,251,20.0
proftpd,aflnet,nodes,252,20.0
proftpd,aflnet,nodes,253,20.0
proftpd,aflnet,nodes,254,20.0
proftpd,aflnet,nodes,255,20.0
proftpd,aflnet,nodes,256,20.0
proftpd,aflnet,nodes,257,20.0
proftpd,aflnet,nodes,258,20.0
proftpd,aflnet,nodes,259,20.0
proftpd,aflnet,nodes,260,20.0
proftpd,aflnet,nodes,261,20.0
proftpd,aflnet,nodes,262,20.0
proftpd,aflnet,nodes,263,20.0
proftpd,aflnet,nodes,264,20.0
proftpd,aflnet,nodes,265,20.0
proftpd,aflnet,nodes,266,20.0
proftpd,aflnet,nodes,267,20.0
proftpd,aflnet,nodes,268,20.0
proftpd,aflnet,nodes,269,20.0
proftpd,aflnet,nodes,270,20.0
proftpd,aflnet,nodes,271,20.0
proftpd,aflnet,nodes,272,20.0
proftpd,aflnet,nodes,273,20.0
proftpd,aflnet,nodes,274,20.0
proftpd,aflnet,nodes,275,20.0
proftpd,aflnet,nodes,276,20.0
proftpd,aflnet,nodes,277,20.0
proftpd,aflnet,nodes,278,20.0
proftpd,aflnet,nodes,279,20.0
proftpd,aflnet,nodes,280,20.0
proftpd,aflnet,nodes,281,20.0
proftpd,aflnet,nodes,282,20.0
proftpd,aflnet,nodes,283,20.0
proftpd,aflnet,nodes,284,20.0
proftpd,aflnet,nodes,285,20.0
proftpd,aflnet,nodes,286,20.0
proftpd,aflnet,nodes,287,20.0
proftpd,aflnet,nodes,288,20.0
proftpd,aflnet,nodes,289,20.0
proftpd,aflnet,nodes,290,20.0
proftpd,aflnet,nodes,291,20.0
proftpd,aflnet,nodes,292,20.0
proftpd,aflnet,nodes,293,20.0
proftpd,aflnet,nodes,294,20.0
proftpd,aflnet,nodes,295,20.0
proftpd,aflnet,nodes,296,20.0
proftpd,aflnet,nodes,297,20.0
proftpd,aflnet,nodes,298,20.0
proftpd,aflnet,nodes,299,20.0
proftpd,aflnet,nodes,300,20.0
proftpd,aflnet,nodes,301,20.0
proftpd,aflnet,nodes,302,20.0
proftpd,aflnet,nodes,303,20.0
proftpd,aflnet,nodes,304,20.0
proftpd,aflnet,nodes,305,20.0
proftpd,aflnet,nodes,306,20.0
proftpd,aflnet,nodes,307,20.0
proftpd,aflnet,nodes,308,20.0
proftpd,aflnet,nodes,309,20.0
proftpd,aflnet,nodes,310,20.0
proftpd,aflnet,nodes,311,20.0
proftpd,aflnet,nodes,312,20.0
proftpd,aflnet,nodes,313,20.0
proftpd,aflnet,nodes,314,20.0
proftpd,aflnet,nodes,315,20.0
proftpd,aflnet,nodes,316,20.0
proftpd,aflnet,nodes,317,20.0
proftpd,aflnet,nodes,318,20.0
proftpd,aflnet,nodes,319,20.0
proftpd,aflnet,nodes,320,20.0
proftpd,aflnet,nodes,321,20.0
proftpd,aflnet,nodes,322,20.0
proftpd,aflnet,nodes,323,20.0
proftpd,aflnet,nodes,324,20.0
proftpd,aflnet,nodes,325,20.0
proftpd,aflnet,nodes,326,20.0
proftpd,aflnet,nodes,327,20.0
proftpd,aflnet,nodes,328,20.0
proftpd,aflnet,nodes,329,20.0
proftpd,aflnet,nodes,330,20.0
proftpd,aflnet,nodes,331,20.0
proftpd,aflnet,nodes,332,20.0
proftpd,aflnet,nodes,333,20.0
proftpd,aflnet,nodes,334,20.0
proftpd,aflnet,nodes,335,20.0
proftpd,aflnet,nodes,336,20.0
proftpd,aflnet,nodes,337,20.0
proftpd,aflnet,nodes,338,20.0
proftpd,aflnet,nodes,339,20.0
proftpd,aflnet,nodes,340,20.0
