time,subject,fuzzer,run,state_type,state
1764774027,proftpd,aflnet,1,nodes,13
1764774027,proftpd,aflnet,1,edges,22
1764774032,proftpd,aflnet,1,nodes,13
1764774032,proftpd,aflnet,1,edges,22
1764774037,proftpd,aflnet,1,nodes,13
1764774037,proftpd,aflnet,1,edges,22
1764774042,proftpd,aflnet,1,nodes,13
1764774042,proftpd,aflnet,1,edges,22
1764774047,proftpd,aflnet,1,nodes,13
1764774047,proftpd,aflnet,1,edges,22
1764774052,proftpd,aflnet,1,nodes,13
1764774052,proftpd,aflnet,1,edges,23
1764774058,proftpd,aflnet,1,nodes,13
1764774058,proftpd,aflnet,1,edges,23
1764774063,proftpd,aflnet,1,nodes,13
1764774063,proftpd,aflnet,1,edges,23
1764774068,proftpd,aflnet,1,nodes,14
1764774068,proftpd,aflnet,1,edges,25
1764774073,proftpd,aflnet,1,nodes,14
1764774073,proftpd,aflnet,1,edges,25
1764774078,proftpd,aflnet,1,nodes,14
1764774078,proftpd,aflnet,1,edges,25
1764774083,proftpd,aflnet,1,nodes,14
1764774083,proftpd,aflnet,1,edges,25
1764774093,proftpd,aflnet,1,nodes,14
1764774093,proftpd,aflnet,1,edges,28
1764774099,proftpd,aflnet,1,nodes,14
1764774099,proftpd,aflnet,1,edges,29
1764774104,proftpd,aflnet,1,nodes,14
1764774104,proftpd,aflnet,1,edges,29
1764774109,proftpd,aflnet,1,nodes,14
1764774109,proftpd,aflnet,1,edges,29
1764774119,proftpd,aflnet,1,nodes,14
1764774119,proftpd,aflnet,1,edges,29
1764774124,proftpd,aflnet,1,nodes,14
1764774124,proftpd,aflnet,1,edges,29
1764774129,proftpd,aflnet,1,nodes,14
1764774129,proftpd,aflnet,1,edges,29
1764774135,proftpd,aflnet,1,nodes,14
1764774135,proftpd,aflnet,1,edges,29
1764774145,proftpd,aflnet,1,nodes,14
1764774145,proftpd,aflnet,1,edges,29
1764774150,proftpd,aflnet,1,nodes,14
1764774150,proftpd,aflnet,1,edges,30
1764774155,proftpd,aflnet,1,nodes,14
1764774155,proftpd,aflnet,1,edges,30
1764774166,proftpd,aflnet,1,nodes,14
1764774166,proftpd,aflnet,1,edges,30
1764774171,proftpd,aflnet,1,nodes,14
1764774171,proftpd,aflnet,1,edges,30
1764774176,proftpd,aflnet,1,nodes,14
1764774176,proftpd,aflnet,1,edges,30
1764774181,proftpd,aflnet,1,nodes,14
1764774181,proftpd,aflnet,1,edges,30
1764774186,proftpd,aflnet,1,nodes,14
1764774186,proftpd,aflnet,1,edges,30
1764774191,proftpd,aflnet,1,nodes,14
1764774191,proftpd,aflnet,1,edges,30
1764774196,proftpd,aflnet,1,nodes,14
1764774196,proftpd,aflnet,1,edges,30
1764774207,proftpd,aflnet,1,nodes,14
1764774207,proftpd,aflnet,1,edges,30
1764774212,proftpd,aflnet,1,nodes,14
1764774212,proftpd,aflnet,1,edges,30
1764774217,proftpd,aflnet,1,nodes,14
1764774217,proftpd,aflnet,1,edges,30
1764774222,proftpd,aflnet,1,nodes,14
1764774222,proftpd,aflnet,1,edges,30
1764774232,proftpd,aflnet,1,nodes,14
1764774232,proftpd,aflnet,1,edges,30
1764774238,proftpd,aflnet,1,nodes,14
1764774238,proftpd,aflnet,1,edges,30
1764774243,proftpd,aflnet,1,nodes,14
1764774243,proftpd,aflnet,1,edges,30
1764774253,proftpd,aflnet,1,nodes,14
1764774253,proftpd,aflnet,1,edges,30
1764774258,proftpd,aflnet,1,nodes,14
1764774258,proftpd,aflnet,1,edges,31
1764774263,proftpd,aflnet,1,nodes,14
1764774263,proftpd,aflnet,1,edges,31
1764774268,proftpd,aflnet,1,nodes,14
1764774268,proftpd,aflnet,1,edges,31
1764774274,proftpd,aflnet,1,nodes,14
1764774274,proftpd,aflnet,1,edges,31
1764774284,proftpd,aflnet,1,nodes,14
1764774284,proftpd,aflnet,1,edges,31
1764774289,proftpd,aflnet,1,nodes,14
1764774289,proftpd,aflnet,1,edges,31
1764774294,proftpd,aflnet,1,nodes,14
1764774294,proftpd,aflnet,1,edges,31
1764774299,proftpd,aflnet,1,nodes,14
1764774299,proftpd,aflnet,1,edges,31
1764774309,proftpd,aflnet,1,nodes,14
1764774309,proftpd,aflnet,1,edges,31
1764774314,proftpd,aflnet,1,nodes,14
1764774314,proftpd,aflnet,1,edges,31
1764774320,proftpd,aflnet,1,nodes,14
1764774320,proftpd,aflnet,1,edges,31
1764774325,proftpd,aflnet,1,nodes,14
1764774325,proftpd,aflnet,1,edges,31
1764774330,proftpd,aflnet,1,nodes,14
1764774330,proftpd,aflnet,1,edges,31
1764774340,proftpd,aflnet,1,nodes,14
1764774340,proftpd,aflnet,1,edges,31
1764774346,proftpd,aflnet,1,nodes,14
1764774346,proftpd,aflnet,1,edges,31
1764774351,proftpd,aflnet,1,nodes,14
1764774351,proftpd,aflnet,1,edges,33
1764774361,proftpd,aflnet,1,nodes,14
1764774361,proftpd,aflnet,1,edges,35
1764774366,proftpd,aflnet,1,nodes,14
1764774366,proftpd,aflnet,1,edges,37
1764774371,proftpd,aflnet,1,nodes,14
1764774371,proftpd,aflnet,1,edges,37
1764774381,proftpd,aflnet,1,nodes,15
