Time,l_per,l_abs,b_per,b_abs
1764774109,18.7,7972,13.0,3373
1764774113,19.3,8224,13.5,3509
1764774118,20.9,8898,14.8,3861
1764774123,21.0,8959,15.0,3899
1764774109,21.0,8959,15.0,3899
1764774113,21.0,8959,15.0,3899
1764774118,21.0,8959,15.0,3899
1764774123,21.0,8959,15.0,3899
1764774127,21.1,8979,15.1,3919
1764774133,21.1,8979,15.1,3919
1764774134,21.1,8979,15.1,3919
1764774141,21.1,8992,15.1,3924
1764774147,21.1,8992,15.1,3924
1764774148,21.1,9007,15.1,3937
1764774155,21.1,9007,15.1,3937
1764774156,21.1,9007,15.1,3937
1764774157,21.1,9007,15.1,3937
1764774159,21.1,9007,15.1,3937
1764774160,21.1,9007,15.2,3939
1764774161,21.1,9007,15.2,3939
1764774167,21.1,9012,15.2,3942
1764774173,21.1,9012,15.2,3942
1764774179,21.1,9012,15.2,3942
1764774185,21.1,9016,15.2,3947
1764774186,21.1,9016,15.2,3948
1764774187,21.1,9016,15.2,3948
1764774189,21.1,9016,15.2,3948
1764774195,21.1,9016,15.2,3949
1764774196,21.3,9063,15.3,3972
1764774199,21.3,9064,15.3,3973
1764774200,21.3,9064,15.3,3973
1764774201,21.3,9067,15.3,3976
1764774207,21.3,9067,15.3,3976
1764774209,21.3,9067,15.3,3976
1764774214,21.3,9067,15.3,3976
1764774216,21.3,9067,15.3,3976
1764774222,21.3,9070,15.3,3977
1764774228,21.3,9070,15.3,3977
1764774230,21.3,9070,15.3,3977
1764774231,21.3,9070,15.3,3977
1764774238,21.3,9070,15.3,3979
1764774240,21.3,9070,15.3,3979
1764774246,21.3,9070,15.3,3979
1764774247,21.3,9070,15.3,3979
1764774251,21.3,9070,15.3,3979
1764774253,21.3,9071,15.3,3980
1764774255,21.3,9071,15.3,3980
1764774256,21.3,9071,15.3,3980
1764774257,21.3,9071,15.3,3980
1764774263,21.3,9071,15.3,3980
1764774270,21.3,9071,15.3,3980
1764774276,21.3,9073,15.3,3984
1764774277,21.3,9073,15.3,3984
1764774280,21.3,9076,15.3,3986
1764774281,21.3,9076,15.3,3986
1764774282,21.3,9076,15.3,3986
1764774284,21.3,9076,15.3,3986
1764774287,21.3,9080,15.3,3987
1764774293,21.3,9081,15.3,3989
1764774295,21.3,9081,15.3,3989
1764774298,21.3,9081,15.3,3989
1764774300,21.3,9081,15.3,3989
1764774302,21.3,9081,15.3,3989
1764774305,21.3,9081,15.3,3990
1764774307,21.3,9081,15.3,3990
1764774311,21.3,9081,15.3,3990
1764774314,21.3,9081,15.3,3990
1764774323,21.3,9081,15.3,3990
1764774324,21.3,9081,15.3,3990
1764774327,21.3,9085,15.3,3991
1764774329,21.3,9085,15.3,3991
1764774339,21.3,9085,15.3,3991
1764774341,21.3,9085,15.3,3991
1764774344,21.3,9085,15.3,3991
1764774351,21.3,9085,15.3,3991
1764774353,21.3,9085,15.3,3991
1764774354,21.3,9085,15.3,3991
1764774358,21.3,9085,15.3,3991
1764774361,21.3,9085,15.3,3991
1764774366,21.3,9085,15.3,3991
1764774369,21.3,9085,15.3,3991
1764774371,21.3,9085,15.3,3991
1764774372,21.4,9112,15.4,3994
1764774384,21.4,9112,15.4,3994
1764774391,21.4,9112,15.4,3994
1764774397,21.4,9112,15.4,3994
1764774398,21.4,9112,15.4,3994
1764774404,21.4,9112,15.4,3994
1764774408,21.4,9112,15.4,3994
1764774413,21.4,9112,15.4,3994
1764774415,21.4,9118,15.4,3995
1764774418,21.4,9138,15.4,3998
1764774420,21.4,9138,15.4,3998
1764774424,21.4,9138,15.4,3998
1764774425,21.4,9138,15.4,3998
1764774429,21.4,9139,15.4,4000
1764774442,21.4,9139,15.4,4000
1764774444,21.4,9139,15.4,4000
1764774452,21.4,9139,15.4,4000
1764774455,21.4,9139,15.4,4000
1764774461,21.4,9139,15.4,4000
1764774463,21.4,9139,15.4,4000
1764774464,21.4,9139,15.4,4000
1764774467,21.4,9139,15.4,4000
1764774469,21.4,9139,15.4,4000
1764774471,21.4,9139,15.4,4000
1764774473,21.4,9139,15.4,4000
1764774475,21.4,9139,15.4,4000
1764774477,21.4,9139,15.4,4000
1764774478,21.4,9139,15.4,4000
1764774480,21.4,9139,15.4,4000
1764774482,21.4,9139,15.4,4000
1764774483,21.4,9139,15.4,4000
1764774485,21.4,9139,15.4,4000
1764774487,21.4,9139,15.4,4000
1764774488,21.4,9139,15.4,4000
1764774498,21.4,9139,15.4,4000
1764774500,21.4,9139,15.4,4000
1764774502,21.4,9139,15.4,4000
1764774505,21.4,9139,15.4,4000
1764774507,21.4,9139,15.4,4000
1764774508,21.4,9139,15.4,4000
1764774511,21.4,9139,15.4,4000
1764774512,21.4,9139,15.4,4000
1764774515,21.4,9139,15.4,4000
1764774516,21.4,9139,15.4,4001
1764774518,21.4,9139,15.4,4001
1764774520,21.4,9139,15.4,4001
1764774522,21.4,9139,15.4,4001
1764774524,21.4,9139,15.4,4001
1764774526,21.4,9139,15.4,4001
1764774535,21.4,9139,15.4,4001
1764774536,21.4,9139,15.4,4001
1764774537,21.4,9139,15.4,4001
1764774539,21.4,9139,15.4,4001
1764774541,21.4,9139,15.4,4001
1764774542,21.4,9139,15.4,4001
1764774544,21.4,9139,15.4,4001
1764774547,21.4,9139,15.4,4001
1764774548,21.4,9139,15.4,4001
1764774550,21.4,9139,15.4,4001
1764774552,21.4,9139,15.4,4001
1764774554,21.4,9141,15.4,4002
1764774555,21.4,9141,15.4,4002
1764774556,21.4,9141,15.4,4002
1764774557,21.4,9141,15.4,4002
1764774558,21.4,9141,15.4,4002
1764774559,21.4,9141,15.4,4002
1764774561,21.4,9141,15.4,4002
1764774562,21.5,9154,15.4,4011
1764774569,21.5,9154,15.4,4011
1764774570,21.5,9154,15.4,4011
1764774572,21.5,9154,15.4,4011
1764774573,21.5,9154,15.4,4011
1764774576,21.5,9154,15.4,4011
1764774576,21.5,9154,15.4,4011
1764774578,21.5,9154,15.4,4011
1764774586,21.5,9154,15.4,4011
1764774588,21.5,9154,15.4,4012
1764774590,21.5,9154,15.4,4012
1764774592,21.5,9154,15.4,4012
1764774593,21.5,9154,15.4,4012
1764774595,21.5,9154,15.4,4012
1764774596,21.5,9154,15.4,4012
1764774598,21.5,9154,15.4,4012
1764774600,21.5,9154,15.4,4012
1764774606,21.5,9154,15.4,4012
1764774609,21.5,9154,15.4,4012
1764774610,21.5,9154,15.4,4012
1764774611,21.5,9154,15.4,4012
1764774613,21.5,9154,15.4,4012
1764774615,21.5,9154,15.4,4012
1764774617,21.5,9154,15.4,4012
1764774619,21.5,9154,15.4,4012
1764774621,21.5,9154,15.4,4012
1764774623,21.5,9154,15.4,4012
