time,subject,fuzzer,run,cov_type,cov
1764720547,proftpd,aflnet,1,l_per,18.7
1764720547,proftpd,aflnet,1,l_abs,7972
1764720547,proftpd,aflnet,1,b_per,13.0
1764720547,proftpd,aflnet,1,b_abs,3372
1764720552,proftpd,aflnet,1,l_per,19.3
1764720552,proftpd,aflnet,1,l_abs,8223
1764720552,proftpd,aflnet,1,b_per,13.5
1764720552,proftpd,aflnet,1,b_abs,3505
1764720557,proftpd,aflnet,1,l_per,20.9
1764720557,proftpd,aflnet,1,l_abs,8899
1764720557,proftpd,aflnet,1,b_per,14.8
1764720557,proftpd,aflnet,1,b_abs,3861
1764720557,proftpd,aflnet,1,l_per,21.0
1764720557,proftpd,aflnet,1,l_abs,8960
1764720557,proftpd,aflnet,1,b_per,15.0
1764720557,proftpd,aflnet,1,b_abs,3899
1764720547,proftpd,aflnet,1,l_per,21.0
1764720547,proftpd,aflnet,1,l_abs,8960
1764720547,proftpd,aflnet,1,b_per,15.0
1764720547,proftpd,aflnet,1,b_abs,3900
1764720552,proftpd,aflnet,1,l_per,21.0
1764720552,proftpd,aflnet,1,l_abs,8960
1764720552,proftpd,aflnet,1,b_per,15.0
1764720552,proftpd,aflnet,1,b_abs,3900
1764720557,proftpd,aflnet,1,l_per,21.0
1764720557,proftpd,aflnet,1,l_abs,8960
1764720557,proftpd,aflnet,1,b_per,15.0
1764720557,proftpd,aflnet,1,b_abs,3900
1764720557,proftpd,aflnet,1,l_per,21.0
1764720557,proftpd,aflnet,1,l_abs,8960
1764720557,proftpd,aflnet,1,b_per,15.0
1764720557,proftpd,aflnet,1,b_abs,3900
1764720562,proftpd,aflnet,1,l_per,21.1
1764720562,proftpd,aflnet,1,l_abs,8980
1764720562,proftpd,aflnet,1,b_per,15.1
1764720562,proftpd,aflnet,1,b_abs,3921
1764720567,proftpd,aflnet,1,l_per,21.1
1764720567,proftpd,aflnet,1,l_abs,8995
1764720567,proftpd,aflnet,1,b_per,15.1
1764720567,proftpd,aflnet,1,b_abs,3934
1764720572,proftpd,aflnet,1,l_per,21.1
1764720572,proftpd,aflnet,1,l_abs,8995
1764720572,proftpd,aflnet,1,b_per,15.1
1764720572,proftpd,aflnet,1,b_abs,3934
1764720573,proftpd,aflnet,1,l_per,21.1
1764720573,proftpd,aflnet,1,l_abs,9008
1764720573,proftpd,aflnet,1,b_per,15.2
1764720573,proftpd,aflnet,1,b_abs,3940
1764720574,proftpd,aflnet,1,l_per,21.1
1764720574,proftpd,aflnet,1,l_abs,9008
1764720574,proftpd,aflnet,1,b_per,15.2
1764720574,proftpd,aflnet,1,b_abs,3940
1764720579,proftpd,aflnet,1,l_per,21.1
1764720579,proftpd,aflnet,1,l_abs,9012
1764720579,proftpd,aflnet,1,b_per,15.2
1764720579,proftpd,aflnet,1,b_abs,3946
1764720580,proftpd,aflnet,1,l_per,21.1
1764720580,proftpd,aflnet,1,l_abs,9012
1764720580,proftpd,aflnet,1,b_per,15.2
1764720580,proftpd,aflnet,1,b_abs,3947
1764720582,proftpd,aflnet,1,l_per,21.1
1764720582,proftpd,aflnet,1,l_abs,9014
1764720582,proftpd,aflnet,1,b_per,15.2
1764720582,proftpd,aflnet,1,b_abs,3949
1764720583,proftpd,aflnet,1,l_per,21.1
1764720583,proftpd,aflnet,1,l_abs,9014
1764720583,proftpd,aflnet,1,b_per,15.2
1764720583,proftpd,aflnet,1,b_abs,3949
1764720588,proftpd,aflnet,1,l_per,21.1
1764720588,proftpd,aflnet,1,l_abs,9014
1764720588,proftpd,aflnet,1,b_per,15.2
1764720588,proftpd,aflnet,1,b_abs,3949
1764720589,proftpd,aflnet,1,l_per,21.1
1764720589,proftpd,aflnet,1,l_abs,9014
1764720589,proftpd,aflnet,1,b_per,15.2
1764720589,proftpd,aflnet,1,b_abs,3949
1764720590,proftpd,aflnet,1,l_per,21.1
1764720590,proftpd,aflnet,1,l_abs,9014
1764720590,proftpd,aflnet,1,b_per,15.2
1764720590,proftpd,aflnet,1,b_abs,3949
1764720595,proftpd,aflnet,1,l_per,21.2
1764720595,proftpd,aflnet,1,l_abs,9021
1764720595,proftpd,aflnet,1,b_per,15.2
1764720595,proftpd,aflnet,1,b_abs,3951
1764720596,proftpd,aflnet,1,l_per,21.2
1764720596,proftpd,aflnet,1,l_abs,9021
1764720596,proftpd,aflnet,1,b_per,15.2
1764720596,proftpd,aflnet,1,b_abs,3951
1764720597,proftpd,aflnet,1,l_per,21.2
1764720597,proftpd,aflnet,1,l_abs,9021
1764720597,proftpd,aflnet,1,b_per,15.2
1764720597,proftpd,aflnet,1,b_abs,3951
1764720599,proftpd,aflnet,1,l_per,21.2
1764720599,proftpd,aflnet,1,l_abs,9021
1764720599,proftpd,aflnet,1,b_per,15.2
1764720599,proftpd,aflnet,1,b_abs,3951
1764720600,proftpd,aflnet,1,l_per,21.2
1764720600,proftpd,aflnet,1,l_abs,9021
1764720600,proftpd,aflnet,1,b_per,15.2
1764720600,proftpd,aflnet,1,b_abs,3951
1764720605,proftpd,aflnet,1,l_per,21.2
1764720605,proftpd,aflnet,1,l_abs,9021
1764720605,proftpd,aflnet,1,b_per,15.2
1764720605,proftpd,aflnet,1,b_abs,3953
1764720607,proftpd,aflnet,1,l_per,21.2
1764720607,proftpd,aflnet,1,l_abs,9021
1764720607,proftpd,aflnet,1,b_per,15.2
1764720607,proftpd,aflnet,1,b_abs,3953
1764720613,proftpd,aflnet,1,l_per,21.2
1764720613,proftpd,aflnet,1,l_abs,9022
1764720613,proftpd,aflnet,1,b_per,15.2
1764720613,proftpd,aflnet,1,b_abs,3954
1764720618,proftpd,aflnet,1,l_per,21.2
1764720618,proftpd,aflnet,1,l_abs,9022
1764720618,proftpd,aflnet,1,b_per,15.2
1764720618,proftpd,aflnet,1,b_abs,3954
1764720624,proftpd,aflnet,1,l_per,21.2
1764720624,proftpd,aflnet,1,l_abs,9022
1764720624,proftpd,aflnet,1,b_per,15.2
1764720624,proftpd,aflnet,1,b_abs,3954
1764720626,proftpd,aflnet,1,l_per,21.2
1764720626,proftpd,aflnet,1,l_abs,9025
1764720626,proftpd,aflnet,1,b_per,15.2
1764720626,proftpd,aflnet,1,b_abs,3956
1764720627,proftpd,aflnet,1,l_per,21.3
1764720627,proftpd,aflnet,1,l_abs,9072
1764720627,proftpd,aflnet,1,b_per,15.3
1764720627,proftpd,aflnet,1,b_abs,3979
1764720628,proftpd,aflnet,1,l_per,21.3
1764720628,proftpd,aflnet,1,l_abs,9072
1764720628,proftpd,aflnet,1,b_per,15.3
1764720628,proftpd,aflnet,1,b_abs,3979
1764720630,proftpd,aflnet,1,l_per,21.3
1764720630,proftpd,aflnet,1,l_abs,9073
1764720630,proftpd,aflnet,1,b_per,15.3
1764720630,proftpd,aflnet,1,b_abs,3981
1764720631,proftpd,aflnet,1,l_per,21.3
1764720631,proftpd,aflnet,1,l_abs,9073
1764720631,proftpd,aflnet,1,b_per,15.3
1764720631,proftpd,aflnet,1,b_abs,3981
1764720633,proftpd,aflnet,1,l_per,21.3
1764720633,proftpd,aflnet,1,l_abs,9073
1764720633,proftpd,aflnet,1,b_per,15.3
1764720633,proftpd,aflnet,1,b_abs,3981
1764720634,proftpd,aflnet,1,l_per,21.3
1764720634,proftpd,aflnet,1,l_abs,9077
1764720634,proftpd,aflnet,1,b_per,15.3
1764720634,proftpd,aflnet,1,b_abs,3986
1764720635,proftpd,aflnet,1,l_per,21.3
1764720635,proftpd,aflnet,1,l_abs,9078
1764720635,proftpd,aflnet,1,b_per,15.3
1764720635,proftpd,aflnet,1,b_abs,3987
1764720637,proftpd,aflnet,1,l_per,21.3
1764720637,proftpd,aflnet,1,l_abs,9078
1764720637,proftpd,aflnet,1,b_per,15.3
1764720637,proftpd,aflnet,1,b_abs,3987
1764720640,proftpd,aflnet,1,l_per,21.3
1764720640,proftpd,aflnet,1,l_abs,9078
1764720640,proftpd,aflnet,1,b_per,15.3
1764720640,proftpd,aflnet,1,b_abs,3987
1764720645,proftpd,aflnet,1,l_per,21.3
1764720645,proftpd,aflnet,1,l_abs,9078
1764720645,proftpd,aflnet,1,b_per,15.3
1764720645,proftpd,aflnet,1,b_abs,3987
1764720650,proftpd,aflnet,1,l_per,21.3
1764720650,proftpd,aflnet,1,l_abs,9081
1764720650,proftpd,aflnet,1,b_per,15.3
1764720650,proftpd,aflnet,1,b_abs,3989
1764720652,proftpd,aflnet,1,l_per,21.3
1764720652,proftpd,aflnet,1,l_abs,9081
1764720652,proftpd,aflnet,1,b_per,15.3
1764720652,proftpd,aflnet,1,b_abs,3989
1764720653,proftpd,aflnet,1,l_per,21.3
1764720653,proftpd,aflnet,1,l_abs,9081
1764720653,proftpd,aflnet,1,b_per,15.3
1764720653,proftpd,aflnet,1,b_abs,3989
1764720660,proftpd,aflnet,1,l_per,21.3
1764720660,proftpd,aflnet,1,l_abs,9081
1764720660,proftpd,aflnet,1,b_per,15.3
1764720660,proftpd,aflnet,1,b_abs,3989
1764720660,proftpd,aflnet,1,l_per,21.3
1764720660,proftpd,aflnet,1,l_abs,9081
1764720660,proftpd,aflnet,1,b_per,15.3
1764720660,proftpd,aflnet,1,b_abs,3989
1764720661,proftpd,aflnet,1,l_per,21.3
1764720661,proftpd,aflnet,1,l_abs,9097
1764720661,proftpd,aflnet,1,b_per,15.4
1764720661,proftpd,aflnet,1,b_abs,3992
1764720663,proftpd,aflnet,1,l_per,21.3
1764720663,proftpd,aflnet,1,l_abs,9097
1764720663,proftpd,aflnet,1,b_per,15.4
1764720663,proftpd,aflnet,1,b_abs,3992
1764720666,proftpd,aflnet,1,l_per,21.3
1764720666,proftpd,aflnet,1,l_abs,9097
1764720666,proftpd,aflnet,1,b_per,15.4
1764720666,proftpd,aflnet,1,b_abs,3992
1764720668,proftpd,aflnet,1,l_per,21.3
1764720668,proftpd,aflnet,1,l_abs,9097
1764720668,proftpd,aflnet,1,b_per,15.4
1764720668,proftpd,aflnet,1,b_abs,3992
1764720670,proftpd,aflnet,1,l_per,21.3
1764720670,proftpd,aflnet,1,l_abs,9097
1764720670,proftpd,aflnet,1,b_per,15.4
1764720670,proftpd,aflnet,1,b_abs,3992
1764720674,proftpd,aflnet,1,l_per,21.3
1764720674,proftpd,aflnet,1,l_abs,9097
