time,subject,fuzzer,run,state_type,state
1764421431,proftpd,chatafl,1,nodes,12
1764421431,proftpd,chatafl,1,edges,23
1764421442,proftpd,chatafl,1,nodes,14
1764421442,proftpd,chatafl,1,edges,26
1764421447,proftpd,chatafl,1,nodes,14
1764421447,proftpd,chatafl,1,edges,26
1764421452,proftpd,chatafl,1,nodes,14
1764421452,proftpd,chatafl,1,edges,26
1764421457,proftpd,chatafl,1,nodes,14
1764421457,proftpd,chatafl,1,edges,26
1764421462,proftpd,chatafl,1,nodes,14
1764421462,proftpd,chatafl,1,edges,26
1764421467,proftpd,chatafl,1,nodes,14
1764421467,proftpd,chatafl,1,edges,28
1764421473,proftpd,chatafl,1,nodes,14
1764421473,proftpd,chatafl,1,edges,28
1764421478,proftpd,chatafl,1,nodes,14
1764421478,proftpd,chatafl,1,edges,28
1764421483,proftpd,chatafl,1,nodes,14
1764421483,proftpd,chatafl,1,edges,28
1764421489,proftpd,chatafl,1,nodes,14
1764421489,proftpd,chatafl,1,edges,28
1764421494,proftpd,chatafl,1,nodes,14
1764421494,proftpd,chatafl,1,edges,28
1764421499,proftpd,chatafl,1,nodes,14
1764421499,proftpd,chatafl,1,edges,28
1764421504,proftpd,chatafl,1,nodes,14
1764421504,proftpd,chatafl,1,edges,28
1764421509,proftpd,chatafl,1,nodes,14
1764421509,proftpd,chatafl,1,edges,28
1764421514,proftpd,chatafl,1,nodes,14
1764421514,proftpd,chatafl,1,edges,28
1764421520,proftpd,chatafl,1,nodes,14
1764421520,proftpd,chatafl,1,edges,28
1764421525,proftpd,chatafl,1,nodes,14
1764421525,proftpd,chatafl,1,edges,28
1764421530,proftpd,chatafl,1,nodes,14
1764421530,proftpd,chatafl,1,edges,28
1764421536,proftpd,chatafl,1,nodes,14
1764421536,proftpd,chatafl,1,edges,29
1764421546,proftpd,chatafl,1,nodes,14
1764421546,proftpd,chatafl,1,edges,29
1764421556,proftpd,chatafl,1,nodes,14
1764421556,proftpd,chatafl,1,edges,29
1764421561,proftpd,chatafl,1,nodes,14
1764421561,proftpd,chatafl,1,edges,29
1764421566,proftpd,chatafl,1,nodes,14
1764421566,proftpd,chatafl,1,edges,29
1764421571,proftpd,chatafl,1,nodes,14
1764421571,proftpd,chatafl,1,edges,29
1764421576,proftpd,chatafl,1,nodes,14
1764421576,proftpd,chatafl,1,edges,29
1764421582,proftpd,chatafl,1,nodes,14
1764421582,proftpd,chatafl,1,edges,29
1764421602,proftpd,chatafl,1,nodes,14
1764421602,proftpd,chatafl,1,edges,29
1764421607,proftpd,chatafl,1,nodes,14
1764421607,proftpd,chatafl,1,edges,29
1764421612,proftpd,chatafl,1,nodes,14
1764421612,proftpd,chatafl,1,edges,29
1764421617,proftpd,chatafl,1,nodes,14
1764421617,proftpd,chatafl,1,edges,29
1764421622,proftpd,chatafl,1,nodes,14
1764421622,proftpd,chatafl,1,edges,30
1764421628,proftpd,chatafl,1,nodes,14
1764421628,proftpd,chatafl,1,edges,30
1764421638,proftpd,chatafl,1,nodes,14
1764421638,proftpd,chatafl,1,edges,30
1764421643,proftpd,chatafl,1,nodes,14
1764421643,proftpd,chatafl,1,edges,30
1764421648,proftpd,chatafl,1,nodes,14
1764421648,proftpd,chatafl,1,edges,30
1764421653,proftpd,chatafl,1,nodes,14
1764421653,proftpd,chatafl,1,edges,30
1764421658,proftpd,chatafl,1,nodes,14
1764421658,proftpd,chatafl,1,edges,30
1764421674,proftpd,chatafl,1,nodes,14
1764421674,proftpd,chatafl,1,edges,30
1764421679,proftpd,chatafl,1,nodes,16
1764421679,proftpd,chatafl,1,edges,34
1764421684,proftpd,chatafl,1,nodes,16
1764421684,proftpd,chatafl,1,edges,34
1764421689,proftpd,chatafl,1,nodes,16
1764421689,proftpd,chatafl,1,edges,37
1764421699,proftpd,chatafl,1,nodes,16
1764421699,proftpd,chatafl,1,edges,37
1764421704,proftpd,chatafl,1,nodes,16
1764421704,proftpd,chatafl,1,edges,37
1764421709,proftpd,chatafl,1,nodes,16
1764421709,proftpd,chatafl,1,edges,38
1764421720,proftpd,chatafl,1,nodes,16
1764421720,proftpd,chatafl,1,edges,39
1764421725,proftpd,chatafl,1,nodes,16
1764421725,proftpd,chatafl,1,edges,39
1764421730,proftpd,chatafl,1,nodes,16
1764421730,proftpd,chatafl,1,edges,39
1764421735,proftpd,chatafl,1,nodes,16
1764421735,proftpd,chatafl,1,edges,39
1764421740,proftpd,chatafl,1,nodes,17
1764421740,proftpd,chatafl,1,edges,44
1764421746,proftpd,chatafl,1,nodes,17
1764421746,proftpd,chatafl,1,edges,46
1764421756,proftpd,chatafl,1,nodes,17
1764421756,proftpd,chatafl,1,edges,46
1764421761,proftpd,chatafl,1,nodes,17
1764421761,proftpd,chatafl,1,edges,47
1764421766,proftpd,chatafl,1,nodes,17
1764421766,proftpd,chatafl,1,edges,47
1764421772,proftpd,chatafl,1,nodes,17
1764421772,proftpd,chatafl,1,edges,48
1764421777,proftpd,chatafl,1,nodes,17
1764421777,proftpd,chatafl,1,edges,49
1764421782,proftpd,chatafl,1,nodes,17
1764421782,proftpd,chatafl,1,edges,49
1764421787,proftpd,chatafl,1,nodes,17
1764421787,proftpd,chatafl,1,edges,51
1764421792,proftpd,chatafl,1,nodes,17
1764421792,proftpd,chatafl,1,edges,53
1764421798,proftpd,chatafl,1,nodes,17
1764421798,proftpd,chatafl,1,edges,53
1764421803,proftpd,chatafl,1,nodes,17
1764421803,proftpd,chatafl,1,edges,53
1764421808,proftpd,chatafl,1,nodes,17
1764421808,proftpd,chatafl,1,edges,53
1764421813,proftpd,chatafl,1,nodes,17
1764421813,proftpd,chatafl,1,edges,54
1764421819,proftpd,chatafl,1,nodes,17
1764421819,proftpd,chatafl,1,edges,56
1764421824,proftpd,chatafl,1,nodes,17
1764421824,proftpd,chatafl,1,edges,56
1764421829,proftpd,chatafl,1,nodes,17
1764421829,proftpd,chatafl,1,edges,56
1764421834,proftpd,chatafl,1,nodes,17
1764421834,proftpd,chatafl,1,edges,56
1764421839,proftpd,chatafl,1,nodes,17
1764421839,proftpd,chatafl,1,edges,56
1764421844,proftpd,chatafl,1,nodes,17
1764421844,proftpd,chatafl,1,edges,56
1764421850,proftpd,chatafl,1,nodes,17
1764421850,proftpd,chatafl,1,edges,56
1764421855,proftpd,chatafl,1,nodes,17
1764421855,proftpd,chatafl,1,edges,57
1764421865,proftpd,chatafl,1,nodes,17
1764421865,proftpd,chatafl,1,edges,57
1764421870,proftpd,chatafl,1,nodes,17
1764421870,proftpd,chatafl,1,edges,57
1764421875,proftpd,chatafl,1,nodes,17
1764421875,proftpd,chatafl,1,edges,58
1764421881,proftpd,chatafl,1,nodes,17
1764421881,proftpd,chatafl,1,edges,58
1764421886,proftpd,chatafl,1,nodes,17
1764421886,proftpd,chatafl,1,edges,60
1764421891,proftpd,chatafl,1,nodes,17
1764421891,proftpd,chatafl,1,edges,60
1764421897,proftpd,chatafl,1,nodes,17
1764421897,proftpd,chatafl,1,edges,60
1764421913,proftpd,chatafl,1,nodes,17
1764421913,proftpd,chatafl,1,edges,60
1764421918,proftpd,chatafl,1,nodes,17
1764421918,proftpd,chatafl,1,edges,60
1764421923,proftpd,chatafl,1,nodes,17
1764421923,proftpd,chatafl,1,edges,60
1764421928,proftpd,chatafl,1,nodes,17
1764421928,proftpd,chatafl,1,edges,60
1764421933,proftpd,chatafl,1,nodes,17
1764421933,proftpd,chatafl,1,edges,61
