subject,fuzzer,data_type,time,data
proftpd,chatafl,nodes,0,0.0
proftpd,chatafl,nodes,1,14.0
proftpd,chatafl,nodes,2,14.0
proftpd,chatafl,nodes,3,14.0
proftpd,chatafl,nodes,4,14.0
proftpd,chatafl,nodes,5,16.0
proftpd,chatafl,nodes,6,17.0
proftpd,chatafl,nodes,7,17.0
proftpd,chatafl,nodes,8,17.0
proftpd,chatafl,nodes,9,17.0
proftpd,chatafl,nodes,10,17.0
proftpd,chatafl,edges,0,0.0
proftpd,chatafl,edges,1,28.0
proftpd,chatafl,edges,2,29.0
proftpd,chatafl,edges,3,29.0
proftpd,chatafl,edges,4,30.0
proftpd,chatafl,edges,5,39.0
proftpd,chatafl,edges,6,51.0
proftpd,chatafl,edges,7,56.0
proftpd,chatafl,edges,8,60.0
proftpd,chatafl,edges,9,61.0
proftpd,chatafl,edges,10,61.0
proftpd,xpgfuzz,nodes,0,0.0
proftpd,xpgfuzz,nodes,1,0.0
proftpd,xpgfuzz,nodes,2,0.0
proftpd,xpgfuzz,nodes,3,0.0
proftpd,xpgfuzz,nodes,4,0.0
proftpd,xpgfuzz,nodes,5,0.0
proftpd,xpgfuzz,nodes,6,0.0
proftpd,xpgfuzz,nodes,7,0.0
proftpd,xpgfuzz,nodes,8,0.0
proftpd,xpgfuzz,nodes,9,0.0
proftpd,xpgfuzz,nodes,10,0.0
proftpd,xpgfuzz,edges,0,0.0
proftpd,xpgfuzz,edges,1,0.0
proftpd,xpgfuzz,edges,2,0.0
proftpd,xpgfuzz,edges,3,0.0
proftpd,xpgfuzz,edges,4,0.0
proftpd,xpgfuzz,edges,5,0.0
proftpd,xpgfuzz,edges,6,0.0
proftpd,xpgfuzz,edges,7,0.0
proftpd,xpgfuzz,edges,8,0.0
proftpd,xpgfuzz,edges,9,0.0
proftpd,xpgfuzz,edges,10,0.0
