time,subject,fuzzer,run,cov_type,cov
1764435337,proftpd,aflnet,1,l_per,18.7
1764435337,proftpd,aflnet,1,l_abs,7972
1764435337,proftpd,aflnet,1,b_per,13.0
1764435337,proftpd,aflnet,1,b_abs,3373
1764435342,proftpd,aflnet,1,l_per,19.3
1764435342,proftpd,aflnet,1,l_abs,8223
1764435342,proftpd,aflnet,1,b_per,13.5
1764435342,proftpd,aflnet,1,b_abs,3506
1764435346,proftpd,aflnet,1,l_per,20.9
1764435346,proftpd,aflnet,1,l_abs,8897
1764435346,proftpd,aflnet,1,b_per,14.8
1764435346,proftpd,aflnet,1,b_abs,3858
1764435350,proftpd,aflnet,1,l_per,21.0
1764435350,proftpd,aflnet,1,l_abs,8958
1764435350,proftpd,aflnet,1,b_per,15.0
1764435350,proftpd,aflnet,1,b_abs,3896
1764435337,proftpd,aflnet,1,l_per,21.0
1764435337,proftpd,aflnet,1,l_abs,8958
1764435337,proftpd,aflnet,1,b_per,15.0
1764435337,proftpd,aflnet,1,b_abs,3896
1764435342,proftpd,aflnet,1,l_per,21.0
1764435342,proftpd,aflnet,1,l_abs,8958
1764435342,proftpd,aflnet,1,b_per,15.0
1764435342,proftpd,aflnet,1,b_abs,3896
1764435346,proftpd,aflnet,1,l_per,21.0
1764435346,proftpd,aflnet,1,l_abs,8960
1764435346,proftpd,aflnet,1,b_per,15.0
1764435346,proftpd,aflnet,1,b_abs,3899
1764435350,proftpd,aflnet,1,l_per,21.0
1764435350,proftpd,aflnet,1,l_abs,8960
1764435350,proftpd,aflnet,1,b_per,15.0
1764435350,proftpd,aflnet,1,b_abs,3899
1764435354,proftpd,aflnet,1,l_per,21.1
1764435354,proftpd,aflnet,1,l_abs,8988
1764435354,proftpd,aflnet,1,b_per,15.1
1764435354,proftpd,aflnet,1,b_abs,3934
1764435359,proftpd,aflnet,1,l_per,21.1
1764435359,proftpd,aflnet,1,l_abs,8988
1764435359,proftpd,aflnet,1,b_per,15.1
1764435359,proftpd,aflnet,1,b_abs,3937
1764435364,proftpd,aflnet,1,l_per,21.1
1764435364,proftpd,aflnet,1,l_abs,8998
1764435364,proftpd,aflnet,1,b_per,15.2
1764435364,proftpd,aflnet,1,b_abs,3941
1764435366,proftpd,aflnet,1,l_per,21.1
