time,subject,fuzzer,run,cov_type,cov
1764509327,pure-ftpd,aflnet,1,l_per,8.4
1764509327,pure-ftpd,aflnet,1,l_abs,547
1764509327,pure-ftpd,aflnet,1,b_per,4.1
1764509327,pure-ftpd,aflnet,1,b_abs,193
1764509330,pure-ftpd,aflnet,1,l_per,8.4
1764509330,pure-ftpd,aflnet,1,l_abs,547
1764509330,pure-ftpd,aflnet,1,b_per,4.1
1764509330,pure-ftpd,aflnet,1,b_abs,194
1764509333,pure-ftpd,aflnet,1,l_per,8.4
1764509333,pure-ftpd,aflnet,1,l_abs,547
1764509333,pure-ftpd,aflnet,1,b_per,4.1
1764509333,pure-ftpd,aflnet,1,b_abs,194
1764509334,pure-ftpd,aflnet,1,l_per,8.4
1764509334,pure-ftpd,aflnet,1,l_abs,547
1764509334,pure-ftpd,aflnet,1,b_per,4.1
1764509334,pure-ftpd,aflnet,1,b_abs,194
1764509327,pure-ftpd,aflnet,1,l_per,8.4
1764509327,pure-ftpd,aflnet,1,l_abs,547
1764509327,pure-ftpd,aflnet,1,b_per,4.1
1764509327,pure-ftpd,aflnet,1,b_abs,194
1764509330,pure-ftpd,aflnet,1,l_per,8.4
1764509330,pure-ftpd,aflnet,1,l_abs,547
1764509330,pure-ftpd,aflnet,1,b_per,4.1
1764509330,pure-ftpd,aflnet,1,b_abs,194
1764509333,pure-ftpd,aflnet,1,l_per,8.4
1764509333,pure-ftpd,aflnet,1,l_abs,547
1764509333,pure-ftpd,aflnet,1,b_per,4.1
1764509333,pure-ftpd,aflnet,1,b_abs,194
1764509334,pure-ftpd,aflnet,1,l_per,8.4
1764509334,pure-ftpd,aflnet,1,l_abs,547
1764509334,pure-ftpd,aflnet,1,b_per,4.1
1764509334,pure-ftpd,aflnet,1,b_abs,194
1764509331,pure-ftpd,aflnet,2,l_per,8.4
1764509331,pure-ftpd,aflnet,2,l_abs,547
1764509331,pure-ftpd,aflnet,2,b_per,4.1
1764509331,pure-ftpd,aflnet,2,b_abs,193
1764509333,pure-ftpd,aflnet,2,l_per,8.4
1764509333,pure-ftpd,aflnet,2,l_abs,547
1764509333,pure-ftpd,aflnet,2,b_per,4.1
1764509333,pure-ftpd,aflnet,2,b_abs,194
1764509335,pure-ftpd,aflnet,2,l_per,8.4
